paper_id,token,task,round,status,decision,confidence,reasoning,promptbook_evidence,cited_rules,was_fenced,failure_kind,failure_case,detail,flagged_other_papers,raw_path
SGCHKJTH,551d60abf25ad16a,data_analysis,1,ok,no,0.75,"Sites were pair-matched before randomization, but the mixed model only included random effects for site and participant, no pair/matched-set term. D11.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\551d60abf25ad16a.attempt1.jsonl
DFJE8ALD,54aa813a638e3b03,data_analysis,1,ok,no,0.72,"Churches were stratified by size before randomization (D9), but the mixed models only adjust for age/marital/employment/education, not stratum—restriction ignored despite clustering handled (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\54aa813a638e3b03.attempt1.jsonl
9LTSBSEE,8493ad6bac619aa7,data_analysis,1,ok,no,0.72,"GEE clusters by practice, but constrained randomization balanced on 3 covariates (EHR source, baseline HPV rate, WCC visits) never entered the analysis model.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\8493ad6bac619aa7.attempt1.jsonl
FHVQQIX3,fa7167f333f217ef,data_analysis,1,failed,,,,,,False,parse,D,"1 validation error for Decision
reasoning
  Value error, reasoning is 207 chars, cap is 200 [type=value_error, input_value='Randomization was balanc...d, restriction ignored.', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error",,results\04_classification\raw\data_analysis_r1\fa7167f333f217ef.attempt1.jsonl
UHEKLJLC,14965f46c7d71011,data_analysis,1,ok,no,0.72,"Pantries were matched into sets by RUCA, catchment area, interventionist before randomization, but mixed models don't include pair/set as blocking factor or adjust for matching vars.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\14965f46c7d71011.attempt1.jsonl
BR4Y6FSS,e9933e791ab4fd95,data_analysis,1,ok,no,0.95,Cluster RCT with only 4 clusters analyzed via chi-square on individual data; clustering completely ignored (D6).,D6,D6,False,,,,,results\04_classification\raw\data_analysis_r1\e9933e791ab4fd95.attempt1.jsonl
SH5J2R2J,e169ec9c6c213959,data_analysis,1,ok,no,0.75,"Schools were pair-matched on SES/ethnicity/enrollment and stratified by site, but the mixed model only used student/school random effects—no pair or site term. Clustering handled, restriction ignored.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\e169ec9c6c213959.attempt1.jsonl
UPVYYFVQ,549341cf57cfb1f2,data_analysis,1,ok,no,0.55,"Family-level cluster-summary handles clustering, but block-randomized allocation (D9) is never accounted for in the t-test/ANCOVA analyses (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\549341cf57cfb1f2.attempt1.jsonl
L8CPLJYW,c2645f2e6c282537,data_analysis,1,ok,no,0.72,"Communities stratified by population size (D9), but mixed model only includes community random effect + launch month; stratification variable not adjusted for (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\c2645f2e6c282537.attempt1.jsonl
IPR6QU8P,d4711f12b5c7c0a1,data_analysis,1,ok,no,0.6,"Individual randomization stratified by clinic site (D9) not entered in model; school randomization stratified into 5 groups also not adjusted, despite clustering being handled (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\d4711f12b5c7c0a1.attempt1.jsonl
TBFRUAMD,04aaf068b2d288e8,data_analysis,1,ok,no,0.75,"Randomization stratified by health system (D9), but analysis plan (clinic random effect only) never adjusts for stratum—clustering handled, restriction ignored (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\04aaf068b2d288e8.attempt1.jsonl
TGSIADX6,e77b8cb93e33e8f1,data_analysis,1,ok,no,0.78,"GEE only accounts for clustering within providers, not at the practice (randomization) level; constrained randomization also not addressed in analysis.",D8,D8,False,,,,,results\04_classification\raw\data_analysis_r1\e77b8cb93e33e8f1.attempt1.jsonl
DCYTWR4N,c85a934c6877467d,data_analysis,1,ok,yes,0.75,"Primary outcome (antibiotic prescribing) analyzed via GEE with robust SEs clustering visits within practices, the randomization unit. Simple random allocation, no restriction to handle.",D5,D5,False,,,,,results\04_classification\raw\data_analysis_r1\c85a934c6877467d.attempt1.jsonl
72N55PAH,fe802c47a4b29a9a,data_analysis,1,ok,no,0.9,"Primary outcome (diagnostic completion) analyzed via Fisher's exact test on individual patients; no random effect, clustered SE, or cluster-level summary despite cluster randomization by city.",D6,D6,False,,,,,results\04_classification\raw\data_analysis_r1\fe802c47a4b29a9a.attempt1.jsonl
26LDPI8G,1cba7016b783234c,data_analysis,1,ok,no,0.6,"Poisson regression with 'robust standard errors' likely corrects for binary/Poisson mismatch, not clinic clustering; no mention of clustered/clinic-level SEs despite 20-clinic cluster RCT.",D6,D6,False,,,,,results\04_classification\raw\data_analysis_r1\1cba7016b783234c.attempt1.jsonl
BW2B5H9P,e04164d2f05a8a17,data_analysis,1,ok,no,0.62,"Primary SBP/DBP analysis described only as 'longitudinal models' with time, arm, interaction; no random effect for church cluster or other clustering method specified.",D4,D4,False,,,,,results\04_classification\raw\data_analysis_r1\e04164d2f05a8a17.attempt1.jsonl
9DKJKFAS,716a76d24f19eab5,data_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\data_analysis_r1\716a76d24f19eab5.attempt1.jsonl
H7N83IW2,2465146465a02b96,data_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\data_analysis_r1\2465146465a02b96.attempt1.jsonl
LU33978L,202f752f7168e07d,data_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\data_analysis_r1\202f752f7168e07d.attempt1.jsonl
TEXLFQSL,60777238b56b391b,data_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\data_analysis_r1\60777238b56b391b.attempt1.jsonl
VMHXT33Z,0a6624288662b82f,data_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\data_analysis_r1\0a6624288662b82f.attempt1.jsonl
JCPBMIPX,1b0f08d7f2e0e292,data_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\data_analysis_r1\1b0f08d7f2e0e292.attempt1.jsonl
WD74R75C,301beac710746f5e,data_analysis,1,ok,no,0.75,"GEE at practice level handles clustering, but stratification factors (EHR vendor, baseline HPV rate, baseline visit volume) used for restricted randomization are never adjusted for in the analysis.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\301beac710746f5e.attempt1.jsonl
U7PLGE75,b70e7ccf2748d710,data_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\data_analysis_r1\b70e7ccf2748d710.attempt1.jsonl
FEHWGZSQ,9617fe258481159b,data_analysis,1,failed,,,,,,False,process,,exit code 1,,results\04_classification\raw\data_analysis_r1\9617fe258481159b.attempt1.jsonl
84YU8UCD,de962d6e23c7cdfa,data_analysis,1,ok,yes,0.72,"Primary outcomes analyzed via GEE (BP control) and mixed model with random effect (PAM-13), both clustering by practice; health system (randomization stratum) adjusted as covariate.","D5,D10",D5;D10,False,,,,,results\04_classification\raw\data_analysis_r1\de962d6e23c7cdfa.attempt1.jsonl
UMV6NC2L,ec534681bce15607,data_analysis,1,ok,no,0.55,"GEE clusters correctly (D5) but primary aim1 model uses only group assignment; minimization factors (rural, size, minority) not built in, only conditionally adjusted if imbalanced.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\ec534681bce15607.attempt1.jsonl
7M6ST2JQ,3cc1671d0ae04b82,data_analysis,1,ok,no,0.68,"Randomization was stratified by school and baseline medication use, but GEE model only adjusted for baseline SFD, poverty, and smoking—stratification variables never entered the analysis.",D10,D10,False,,,,,results\04_classification\raw\data_analysis_r1\3cc1671d0ae04b82.attempt1.jsonl
