paper_id,token,task,round,status,decision,confidence,reasoning,promptbook_evidence,cited_rules,was_fenced,failure_kind,failure_case,detail,flagged_other_papers,raw_path
FRK7DQLC,58fd9d59b73bea3e,exclusion,1,ok,yes,0.9,"Uses only cross-sectional, pre-intervention survey data from a cluster RCT; no post-randomization treatment effect estimated; primary trial outcomes reported elsewhere (refs 8,9).",E6,E6,False,,,,,results\04_classification\raw\exclusion_r1\58fd9d59b73bea3e.attempt1.jsonl
KMRQTRP3,f07420b34b904d28,exclusion,1,ok,no,0.85,Cluster RCT of 48 practices with its own primary outcome (missed HPV vaccination opportunities) and quantitative treatment effect estimates; not stepped-wedge or self-declared secondary.,E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\f07420b34b904d28.attempt1.jsonl
I6GH9T7T,ff7115bbe093fc74,exclusion,1,ok,yes,0.97,Self-declared secondary/subgroup analysis of GAP-70+ trial; primary trial results published elsewhere (Mohile et al. Lancet 2021).,E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\ff7115bbe093fc74.attempt1.jsonl
QEHREYLH,86aae18b62efe197,exclusion,1,ok,yes,0.97,Self-declared pre-specified secondary analysis of the ICU-RESUS cluster RCT; primary trial results reported elsewhere; also observational/propensity-weighted cohort design.,E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\86aae18b62efe197.attempt1.jsonl
VZQD5RZ8,663d80a5d2ab92d8,exclusion,1,ok,yes,0.93,"Self-declared secondary analysis of REDAPS stepped-wedge trial's usual-care period; also observational cohort design, not a treatment-effect trial itself.",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\663d80a5d2ab92d8.attempt1.jsonl
GK558E5R,77f3d48ce4b54b7e,exclusion,1,ok,yes,0.75,"Observational analysis of weather/environmental exposures using trial data; not evaluating randomized intervention effect; primary trial results reported elsewhere (refs 31,51).",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\77f3d48ce4b54b7e.attempt1.jsonl
D6FQ47HW,687b6937210ed400,exclusion,1,ok,yes,0.9,"Paper self-declares as a 'secondary analysis of 3 prospective studies' in Key Points; also a prediction-model/ML methods paper, not a cluster-randomized trial.",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\687b6937210ed400.attempt1.jsonl
ZETJJPRR,26a4454bbf2c7550,exclusion,1,ok,yes,0.85,"Primary outcome is provider adoption/fidelity of TDT guidelines (4As), not patient cessation outcomes—classic implementation study.",E7,E7,False,,,,,results\04_classification\raw\exclusion_r1\26a4454bbf2c7550.attempt1.jsonl
MTLFVN94,6fc0ad66a4e1c400,exclusion,1,ok,yes,0.75,Protocol paper only; describes planned cRCT methods but reports no post-randomization treatment effect estimate at all.,E6,E6,False,,,,,results\04_classification\raw\exclusion_r1\6fc0ad66a4e1c400.attempt1.jsonl
SRGFMEL6,6b655316d8ba09f7,exclusion,1,ok,yes,0.95,"Self-declared pre-specified subgroup/sub-analysis of PAIR-UP trial; primary result reported elsewhere (ref 20, JAMA Pediatrics).",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\6b655316d8ba09f7.attempt1.jsonl
CKEF67C5,9feb095e2b46b837,exclusion,1,ok,no,0.93,"Genuine cluster RCT (PCP-level randomization), reports primary outcome with treatment effect estimate; no exclusion criteria apply.",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\9feb095e2b46b837.attempt1.jsonl
C9P63S2B,d23b338e68f57f94,exclusion,1,ok,yes,0.95,Explicitly labeled pilot cluster-randomized trial assessing feasibility of team-focused implementation strategies; also a protocol paper.,E13,E13,False,,,,,results\04_classification\raw\exclusion_r1\d23b338e68f57f94.attempt1.jsonl
U9LEIXXF,e1ad9d74d2b09f93,exclusion,1,ok,yes,0.97,"Self-declared subgroup/secondary analysis of DKA patients from SALT-ED/SMART trials, whose primary results were reported elsewhere.",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\e1ad9d74d2b09f93.attempt1.jsonl
S47B3QEJ,714958c5cf0dc145,exclusion,1,ok,yes,0.98,Explicitly a stepped-wedge cluster randomized trial protocol; design section describes staggered crossover of 16 clinics across steps.,E3,E3,False,,,,,results\04_classification\raw\exclusion_r1\714958c5cf0dc145.attempt1.jsonl
767M69JK,f5d68fbe8a69229b,exclusion,1,ok,yes,0.85,"Journal labels it 'Commentary/Position Paper' discussing COVID-19 implementation challenges/adaptations, not reporting treatment-effect results.",E16,E16,False,,,,,results\04_classification\raw\exclusion_r1\f5d68fbe8a69229b.attempt1.jsonl
FZB8IQSZ,bda53e5ffb5c27c7,exclusion,1,ok,yes,0.97,Self-declared cost-effectiveness analysis of a prior cluster RCT; primary trial results published elsewhere (He et al. JAMA 2017).,E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\bda53e5ffb5c27c7.attempt1.jsonl
ZS5WVT7S,f9bf81633414b856,exclusion,1,ok,yes,0.85,"Observational feasibility cohort study simulating a proposed stepped-wedge trial; no actual randomization occurred, and it's a feasibility/methods paper.",E9,E9,False,,,,,results\04_classification\raw\exclusion_r1\f9bf81633414b856.attempt1.jsonl
5VWZPNEQ,fc8d469d1cf7dc5d,exclusion,1,ok,yes,0.72,"This is a protocol/design paper for an ongoing trial; no post-randomization treatment effect is estimated, only planned methods and power calculations.",E6,E6,False,,,,,results\04_classification\raw\exclusion_r1\fc8d469d1cf7dc5d.attempt1.jsonl
TYUTRABV,00372292a95717ea,exclusion,1,ok,yes,0.9,"Title/text: 'prospective cohort study', single-arm sub-study of phase 2, non-randomized comparison of sequential communities, not a CRT.",E9,E9,False,,,,,results\04_classification\raw\exclusion_r1\00372292a95717ea.attempt1.jsonl
2BDG7GVP,e857b665f7b27470,exclusion,1,ok,no,0.9,Group-randomized trial (16 schools) with primary outcome (SBP participation change) and quantitative treatment effect estimate; no exclusion criteria apply.,E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\e857b665f7b27470.attempt1.jsonl
3MBN8DIA,e5054deaa0d3b716,exclusion,1,ok,yes,0.97,"This is a letter to the editor commenting on another study, not a study report itself.",E16,E16,False,,,,,results\04_classification\raw\exclusion_r1\e5054deaa0d3b716.attempt1.jsonl
F7UIGLIK,7105b84a1876dcfe,exclusion,1,ok,yes,0.95,"Methods paper: develops a new regression estimator/spline framework, validated by simulations and illustrative data analyses, not a trial report.",E8,E8,False,,,,,results\04_classification\raw\exclusion_r1\7105b84a1876dcfe.attempt1.jsonl
BAABE7JM,189cdfa27edc19d0,exclusion,1,ok,no,0.85,"Protocol for a genuine 4-arm cluster-randomized trial (site-level randomization), defines primary outcome (knowledge); protocol status alone is not exclusionary (E12).",E12,E12,False,,,,,results\04_classification\raw\exclusion_r1\189cdfa27edc19d0.attempt1.jsonl
D29P9RKT,91102d5ead3b7083,exclusion,1,ok,yes,0.98,"Explicitly described as a cluster randomized, stepped-wedge trial with 5 predefined steps of hospital crossover from control to intervention.",E3,E3,False,,,,,results\04_classification\raw\exclusion_r1\91102d5ead3b7083.attempt1.jsonl
UPVYYFVQ,445a8b725acdbc10,exclusion,1,ok,no,0.85,"Cluster RCT (family-randomized), primary outcomes (energy/nutrient intake) reported with treatment effects; no exclusion criteria met.",E10,E10,False,,,,,results\04_classification\raw\exclusion_r1\445a8b725acdbc10.attempt1.jsonl
NCY67FZ9,7dcd1e3a9fa061c7,exclusion,1,ok,yes,0.93,Paper explicitly states cognition was a secondary outcome of MIPARC trial; primary PA outcomes reported in a separate cited publication (Kerr et al 2018).,E5,E5,False,,,,Kerr et al 2018),results\04_classification\raw\exclusion_r1\7dcd1e3a9fa061c7.attempt1.jsonl
TB7DEJ83,96e88248ea953b5a,exclusion,1,ok,yes,0.97,Self-declared secondary analysis of baseline surveys from a multi-center cluster-randomized trial; primary results published elsewhere (ref 23).,E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\96e88248ea953b5a.attempt1.jsonl
XFPCQLGP,b62902917efc9252,exclusion,1,ok,no,0.93,"This is a full pragmatic cluster RCT (32 CHCs) with primary outcome (SBP change), reported here in full, none of the exclusion criteria apply.",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\b62902917efc9252.attempt1.jsonl
HA9IHJB6,30242293161a092a,exclusion,1,ok,yes,0.97,"Explicitly self-declared as an exploratory secondary analysis of the VOICE cluster RCT, pointing to prior publications for primary results.",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\30242293161a092a.attempt1.jsonl
ECH2D7BJ,37ec1be6b073d9e0,exclusion,1,ok,yes,0.95,"Paper explicitly self-declares as secondary analysis of CEASE trial data, with primary trial results published elsewhere (ref 20).",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\37ec1be6b073d9e0.attempt1.jsonl
NQ4Y7FIA,5ca7808a60ca4bed,exclusion,1,ok,no,0.9,Group-randomized trial (30 facilities) with primary hypotheses and post-randomization treatment effects on stress/distress; no exclusion criteria met.,E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\5ca7808a60ca4bed.attempt1.jsonl
LD2EYF43,5d15f66606b07efd,exclusion,1,ok,yes,0.93,Paper analyzes only baseline observational data from the cluster-RCT; no post-randomization treatment effect estimated (cross-sectional caregiver-child associations only).,E6,E6,False,,,,,results\04_classification\raw\exclusion_r1\5d15f66606b07efd.attempt1.jsonl
LGEECHQM,c0f645e0f525f874,exclusion,1,ok,no,0.62,"Protocol for an actual paired cluster-randomized trial (dormitories), not a stepped-wedge, not self-declared secondary, not a generic methods paper. Protocol status alone isn't exclusionary (E12).",E12,E12,False,,,,,results\04_classification\raw\exclusion_r1\c0f645e0f525f874.attempt1.jsonl
