priority,category,paper_id,set,finding,recommended_action,verdict,verdict_reason,title_score,doi,pmid,folder,attachment_key,title
3,PROBABLY_FINE,D29P9RKT,human_labelled,"DOI matches and the title is the first line, but extraction glued it space-less so the position probe matched the running footer instead",Quick glance to confirm; no action expected,VERIFIED,DOI_MATCH,100.0,10.1001/jama.2017.21906,29450524,Locked_26_01_08_337,PNIE45YH,Effect of a Quality Improvement Intervention on Clinical Outcomes in Patients in India With Acute Myocardial Infarction: The ACS QUIK Randomized Clinical Trial
3,PROBABLY_FINE,J2XGTHGE,human_labelled,DOI matches; same journal layout as 6AUXHCLQ (this is its validation-set twin),Quick glance to confirm; no action expected,VERIFIED,DOI_MATCH,100.0,10.1093/tbm/ibaa113,33231679,Locked_26_01_08_337,BXIS6RA2,"Evaluating a child care-based social marketing approach for improving children's diet and physical activity: results from the Healthy Me, Healthy We cluster-randomized controlled trial"
3,PROBABLY_FINE,K4DMDMSQ,human_labelled,title matches at the top of the document but the author list was not found; page 1 likely omits authors,Quick glance to confirm; no action expected,WEAK,TITLE_NEAR_MATCH,89.3,10.2196/57863,38941601,Locked_26_01_08_337,QDKPCKDY,The Effect of an mHealth Self-Monitoring Intervention (MI-BP) on Blood Pressure Among Black Individuals With Uncontrolled Hypertension: Randomized Controlled Trial
3,PROBABLY_FINE,S55P2WES,unlabelled,title matches at the top of the document but the author list was not found; page 1 likely omits authors,Quick glance to confirm; no action expected,WEAK,TITLE_NEAR_MATCH,100.0,10.7326/m20-6326,33683931,NIDDK; NIGMS,HWS5T6QH,Food Insecurity and Weight Loss in an Underserved Primary Care Population: A Post Hoc Analysis of a Cluster Randomized Trial.
2,THIN_TEXT,A3H3NDHF,unlabelled,"only 2694 characters over 2 page(s); the corpus median is ~51,700. The PDF may be a correction notice rather than the article, or an incomplete file","Open the PDF. If it is only a corrigendum/erratum/correction notice, Drop it; if the full article exists in Zotero, Replace the PDF",VERIFIED,DOI_MATCH,100.0,10.1186/s40814-017-0149-4,28702217,FIC,ABG2TR8J,Erratum to: Culturally adaptive storytelling intervention versus didactic intervention to improve hypertension control in Vietnam: a cluster randomized  controlled feasibility trial.
2,THIN_TEXT,NBBD4EVE,unlabelled,"only 1608 characters over 1 page(s); the corpus median is ~51,700. The PDF may be a correction notice rather than the article, or an incomplete file","Open the PDF. If it is only a corrigendum/erratum/correction notice, Drop it; if the full article exists in Zotero, Replace the PDF",VERIFIED,DOI_MATCH,100.0,10.1093/biostatistics/kxz008,30942383,NIAID,IW7DWVVA,Corrigendum: Analysis of cluster-randomized test-negative designs: cluster-level methods.
2,CORRECTION_NOTICE,AT7F9XWR,unlabelled,"title announces a correction/erratum/retraction, not a study (5513 chars over 2 page(s); the corpus median is ~51,700)",Almost certainly Drop: a correction/erratum is not a study. Open the PDF to confirm it is the notice and not the full article,VERIFIED,DOI_MATCH,100.0,10.1186/s12889-022-14059-y,36050666,NICHD,L4JUBWBK,Correction: Assessing COVID-19 testing strategies in K-12 schools in underserved populations: study protocol for a cluster-randomized trial.
2,CORRECTION_NOTICE,JBUFJCLU,human_labelled,"title announces a correction/erratum/retraction, not a study (4834 chars over 2 page(s); the corpus median is ~51,700)",Almost certainly Drop: a correction/erratum is not a study. Open the PDF to confirm it is the notice and not the full article,VERIFIED,DOI_MATCH,100.0,10.1186/s13722-022-00304-7,35361240,FinalCollectionFor Publication,FKZCJ2QK,"Correction to: A cluster randomized controlled trial for a multi-level, clinic-based smoking cessation program with women in Appalachian communities: study protocol for the ""Break Free"" program"
1,WRONG_DOCUMENT,FRIPQN6I,unlabelled,"CONSORT-EHEALTH submission form printed from Google Forms (50pp), not the article (found by results/01_corpus_build/text_integrity_report.csv, not identity verification -- title+author matched because the form carries the paper's own title)","Replace the PDF in Zotero, or drop this paper from the corpus",VERIFIED,TITLE_AUTHOR_MATCH,,10.2196/38796,35802403,FIC,F5DMQB8N,Tuberculosis Treatment Compliance Under Smartphone-Based Video-Observed Therapy Versus Community-Based Directly Observed Therapy: Protocol for a Cluster  Randomized Controlled Trial.
1,WRONG_DOCUMENT,GY63DGR9,unlabelled,"CONSORT-EHEALTH submission form printed from Google Forms (54pp), not the article (found by results/01_corpus_build/text_integrity_report.csv, not identity verification -- title+author matched because the form carries the paper's own title)","Replace the PDF in Zotero, or drop this paper from the corpus",VERIFIED,TITLE_AUTHOR_MATCH,,10.2196/37748,35349466,NIAID; NIMH,62KUHAF5,"Evaluation of the Implementation and Effectiveness of a Mobile Health Intervention to Improve Outcomes for People With HIV in the Washington, DC  Cohort: Study Protocol for a Cluster Randomized Controlled Trial."
1,WRONG_DOCUMENT,Y2SLUV8T,unlabelled,"CONSORT-EHEALTH submission form printed from Google Forms (58pp), not the article (found by results/01_corpus_build/text_integrity_report.csv, not identity verification -- title+author matched because the form carries the paper's own title)","Replace the PDF in Zotero, or drop this paper from the corpus",VERIFIED,TITLE_AUTHOR_MATCH,,10.2196/31894,35298394,NCATS,4ZRJ2V8J,Testing Digital Methods of Patient-Reported Outcomes Data Collection: Prospective Cluster Randomized Trial to Test SMS Text Messaging and Mobile Surveys.
