priority,category,paper_id,set,why,verdict,verdict_reason,title_score,pages,doi,folder,title
1,A_WRONG_DOCUMENT,LLZYSRKB,testing,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,96.9,16,10.2196/43986,NIAAA,Cross-Tailoring Integrative Alcohol and Risky Sexual Behavior Feedback for College Students: Protocol for a Hybrid Type 1 Effectiveness-Implementation  Trial.
1,A_WRONG_DOCUMENT,LNE655AM,validation,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,96.7,13,10.2196/48923,FinalCollectionFor Publication,Ending Tobacco Use Through Interactive Tailored Messaging for Cambodian People With HIV (Project EndIT): Protocol for a Randomized Controlled Trial
1,A_WRONG_DOCUMENT,NEFAHCCF,testing,PDF does not match the record on any signal,MISMATCH,NO_MATCH,52.2,2,10.2196/24359,NCATS,Applying Clinical Decision Support Design Best Practices With the Practical Robust Implementation and Sustainability Model Versus Reliance on Commercially  Available Clinical Decision Support Tools: Randomized Controlled Trial.
1,A_WRONG_DOCUMENT,NYT8TV5W,testing,PDF does not match the record on any signal,MISMATCH,NO_MATCH,35.1,53,10.2196/28723,NIA; NIDDK,A Behavioral Economics-Electronic Health Record Module to Promote Appropriate Diabetes Management in Older Adults: Protocol for a Pragmatic Cluster Randomized  Controlled Trial.
1,A_WRONG_DOCUMENT,QITZ472M,testing,PDF does not match the record on any signal,MISMATCH,NO_MATCH,47.6,1,10.2196/24342,NIDCR,De-Implementing Opioid Use and Implementing Optimal Pain Management Following Dental Extractions (DIODE): Protocol for a Cluster Randomized Trial.
1,A_WRONG_DOCUMENT,XQ95HYJB,testing,no text layer; cannot verify (scanned image),PDF_UNREADABLE,NO_TEXT,0.0,0,10.2196/33929,NICHD; NIDDK,A Web-Based mHealth Intervention With Telephone Support to Increase Physical Activity Among Pregnant Patients With Overweight or Obesity: Feasibility  Randomized Controlled Trial.
1,B_LIKELY_WRONG,AULRV66J,testing,title appears 64% into text = cited in a reference list; 0/12 authors -> probably a different article,WEAK,TITLE_NEAR_MATCH,100.0,4,10.1016/j.ophtha.2020.02.014,NEI,Post-antibiotic Ocular Surface Microbiome in Children: A Cluster-Randomized Trial.
2,D_DUPLICATE_IN_VALIDATION,62TBCTHX,validation,"same DOI as ['6ZR6F8KG'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,10,10.1016/j.jpainsymman.2022.11.025,FinalCollectionFor Publication,Examining Caregiver Outcomes in the CONNECT Intervention for Patients With Advanced Cancer
2,D_DUPLICATE_IN_VALIDATION,6EI22ZER,validation,"same DOI as ['DPPC94XT'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,13,10.1016/j.cct.2021.106526,Locked_26_01_08_337,"Testing the effectiveness of community-engaged citizen science to promote physical activity, foster healthier neighborhood environments, and advance health equity in vulnerable communities: The Steps for Change randomized controlled trial design and methods"
2,D_DUPLICATE_IN_VALIDATION,6ZR6F8KG,validation,"same DOI as ['62TBCTHX'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,19,10.1016/j.jpainsymman.2022.11.025,Locked_26_01_08_337,Examining Caregiver Outcomes in the CONNECT Intervention for Patients With Advanced Cancer
2,D_DUPLICATE_IN_VALIDATION,9G7ZMMY3,validation,"same DOI as ['RJD9XX6D'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,10,10.1186/s12889-019-6443-8,Locked_26_01_08_337,A multilevel approach for promoting physical activity in rural communities: a cluster randomized controlled trial
2,D_DUPLICATE_IN_VALIDATION,ASTFEXJ3,validation,"same DOI as ['E92KWK4B'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,9,10.18865/ed.decipher.18,Locked_26_01_08_337,Process of Engaging Community and Scientific Partners in the Development of the CIRCL-Chicago Study Protocol
2,D_DUPLICATE_IN_VALIDATION,B6VJ22FA,validation,"same DOI as ['GIHWCXEH'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,9,10.1177/02692163231214422,FinalCollectionFor Publication,Hope and illness expectations: A cross-sectional study in patients with advanced cancer
2,D_DUPLICATE_IN_VALIDATION,BCPZNXV7,validation,"same DOI as ['I842F22F'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,13,10.3390/nu11102320,FinalCollectionFor Publication,"Eating Occasions, Obesity and Related Behaviors in Working Adults: Does it Matter When You Snack?"
2,D_DUPLICATE_IN_VALIDATION,BMCWCLQH,validation,"same DOI as ['Z7NF2G6Q'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,8,10.1123/jpah.2021-0677,Locked_26_01_08_337,Objective Measures of Physical Activity in Rural Communities: Factors Associated With a Valid Wear and Lessons Learned
2,D_DUPLICATE_IN_VALIDATION,D8CQJP9V,validation,"same DOI as ['HPIL7WVW'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,10,10.1001/jamainternmed.2021.5185,Locked_26_01_08_337,Effect of an Oncology Nurse-Led Primary Palliative Care Intervention on Patients With Advanced Cancer: The CONNECT Cluster Randomized Clinical Trial
2,D_DUPLICATE_IN_VALIDATION,DPPC94XT,validation,"same DOI as ['6EI22ZER'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,31,10.1016/j.cct.2021.106526,FinalCollectionFor Publication,"Testing the effectiveness of community-engaged citizen science to promote physical activity, foster healthier neighborhood environments, and advance health equity in vulnerable communities: The Steps for Change randomized controlled trial design and methods"
2,D_DUPLICATE_IN_VALIDATION,E92KWK4B,validation,"same DOI as ['ASTFEXJ3'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,9,10.18865/ed.decipher.18,FinalCollectionFor Publication,Process of Engaging Community and Scientific Partners in the Development of the CIRCL-Chicago Study Protocol
2,D_DUPLICATE_IN_VALIDATION,FUSDUXRL,validation,"same DOI as ['NCY67FZ9'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,21,10.1016/j.jagp.2019.04.011,Locked_26_01_08_337,Changes in Moderate Intensity Physical Activity Are Associated With Better Cognition in the Multilevel Intervention for Physical Activity in Retirement Communities (MIPARC) Study
2,D_DUPLICATE_IN_VALIDATION,GIHWCXEH,validation,"same DOI as ['B6VJ22FA'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,9,10.1177/02692163231214422,Locked_26_01_08_337,Hope and illness expectations: A cross-sectional study in patients with advanced cancer
2,D_DUPLICATE_IN_VALIDATION,HLQA5RI6,validation,"same DOI as ['QQ3EW96Q'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,8,10.1007/s11606-020-06571-x,FinalCollectionFor Publication,Teaching Medical Students to Help Patients Manage Their Weight: Outcomes of an Eight-School Randomized Controlled Trial
2,D_DUPLICATE_IN_VALIDATION,HPIL7WVW,validation,"same DOI as ['D8CQJP9V'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,10,10.1001/jamainternmed.2021.5185,FinalCollectionFor Publication,Effect of an Oncology Nurse-Led Primary Palliative Care Intervention on Patients With Advanced Cancer: The CONNECT Cluster Randomized Clinical Trial
2,D_DUPLICATE_IN_VALIDATION,I842F22F,validation,"same DOI as ['BCPZNXV7'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,13,10.3390/nu11102320,Locked_26_01_08_337,"Eating Occasions, Obesity and Related Behaviors in Working Adults: Does it Matter When You Snack?"
2,D_DUPLICATE_IN_VALIDATION,JNJYCIH8,validation,"same DOI as ['Y65DB7TT'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,8,10.6004/jnccn.2023.7002,Locked_26_01_08_337,Primary Palliative Care Improves Uptake of Advance Care Planning Among Patients With Advanced Cancers
2,D_DUPLICATE_IN_VALIDATION,NCY67FZ9,validation,"same DOI as ['FUSDUXRL'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,21,10.1016/j.jagp.2019.04.011,FinalCollectionFor Publication,Changes in Moderate Intensity Physical Activity Are Associated With Better Cognition in the Multilevel Intervention for Physical Activity in Retirement Communities (MIPARC) Study
2,D_DUPLICATE_IN_VALIDATION,QQ3EW96Q,validation,"same DOI as ['HLQA5RI6'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,8,10.1007/s11606-020-06571-x,Locked_26_01_08_337,Teaching Medical Students to Help Patients Manage Their Weight: Outcomes of an Eight-School Randomized Controlled Trial
2,D_DUPLICATE_IN_VALIDATION,RJD9XX6D,validation,"same DOI as ['9G7ZMMY3'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,10,10.1186/s12889-019-6443-8,FinalCollectionFor Publication,A multilevel approach for promoting physical activity in rural communities: a cluster randomized controlled trial
2,D_DUPLICATE_IN_VALIDATION,SH5J2R2J,validation,"same DOI as ['W5Z7K27W'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,11,10.1186/s12966-024-01602-w,FinalCollectionFor Publication,Evaluation of a walking school bus program: a cluster randomized controlled trial
2,D_DUPLICATE_IN_VALIDATION,TCF92VSK,validation,"same DOI as ['VGG3KIMT'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,14,10.1186/s13012-024-01368-6,Locked_26_01_08_337,"Scaling up a brief alcohol intervention to prevent HIV infection in Vietnam: a cluster randomized, implementation trial"
2,D_DUPLICATE_IN_VALIDATION,UAZFWMQ5,validation,"same DOI as ['VKY7UK64'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,6,10.1002/oby.23373,Locked_26_01_08_337,A practical decision tree to support editorial adjudication of submitted parallel cluster randomized controlled trials
2,D_DUPLICATE_IN_VALIDATION,VGG3KIMT,validation,"same DOI as ['TCF92VSK'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,14,10.1186/s13012-024-01368-6,FinalCollectionFor Publication,"Scaling up a brief alcohol intervention to prevent HIV infection in Vietnam: a cluster randomized, implementation trial"
2,D_DUPLICATE_IN_VALIDATION,VKY7UK64,validation,"same DOI as ['UAZFWMQ5'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,6,10.1002/oby.23373,FinalCollectionFor Publication,A practical decision tree to support editorial adjudication of submitted parallel cluster randomized controlled trials
2,D_DUPLICATE_IN_VALIDATION,W5Z7K27W,validation,"same DOI as ['SH5J2R2J'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,11,10.1186/s12966-024-01602-w,Locked_26_01_08_337,Evaluation of a walking school bus program: a cluster randomized controlled trial
2,D_DUPLICATE_IN_VALIDATION,XYJLRGVC,validation,"same DOI as ['Y3Z3PR9V'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,17,10.1016/j.jpainsymman.2018.07.005,FinalCollectionFor Publication,"Quality of Communication and Trust in Patients With Serious Illness: An Exploratory Study of the Relationships of Race/Ethnicity, Socioeconomic Status, and Religiosity"
2,D_DUPLICATE_IN_VALIDATION,Y3Z3PR9V,validation,"same DOI as ['XYJLRGVC'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,17,10.1016/j.jpainsymman.2018.07.005,Locked_26_01_08_337,"Quality of Communication and Trust in Patients With Serious Illness: An Exploratory Study of the Relationships of Race/Ethnicity, Socioeconomic Status, and Religiosity"
2,D_DUPLICATE_IN_VALIDATION,Y65DB7TT,validation,"same DOI as ['JNJYCIH8'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,8,10.6004/jnccn.2023.7002,FinalCollectionFor Publication,Primary Palliative Care Improves Uptake of Advance Care Planning Among Patients With Advanced Cancers
2,D_DUPLICATE_IN_VALIDATION,Z7NF2G6Q,validation,"same DOI as ['BMCWCLQH'] inside the validation set - would be double-counted in accuracy, and could split across the 350/150 holdout",VERIFIED,DOI_MATCH,100.0,8,10.1123/jpah.2021-0677,FinalCollectionFor Publication,Objective Measures of Physical Activity in Rural Communities: Factors Associated With a Valid Wear and Lessons Learned
2,E_IN_BOTH_SETS,2EAWBLSK,testing,same DOI as validation paper JNJYCIH8 - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,8,10.6004/jnccn.2023.7002,NIA,Primary Palliative Care Improves Uptake of Advance Care Planning Among Patients With Advanced Cancers.
2,E_IN_BOTH_SETS,2K6MPX29,testing,same DOI as validation paper 3SUSMNR7 - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,9,10.1164/rccm.201804-0694oc,NIEHS,"Prenatal Household Air Pollution Is Associated with Impaired Infant Lung Function with Sex-Specific Effects. Evidence from GRAPHS, a Cluster Randomized Cookstove  Intervention Trial."
2,E_IN_BOTH_SETS,2QVEH4DA,testing,same DOI as validation paper CMD8N46A - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,12,10.1186/s13012-018-0819-5,NIDDK,"Developing an evidence-based program sustainability training curriculum: a group randomized, multi-phase approach."
2,E_IN_BOTH_SETS,2RSZ96NM,testing,same DOI as validation paper CN8B23MZ - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,6,10.1177/2752535x241235992,NIMHD,Effects of a Faith-Based Obesity Intervention on African American and Latino Adults' Children.
2,E_IN_BOTH_SETS,2SH9H8T4,testing,same DOI as validation paper K8TKE6RJ - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,12,10.18865/ed.29.2.297,NIMHD,"Longitudinal Changes in Allostatic Load during a Randomized Church-based, Lifestyle Intervention in African American Women."
2,E_IN_BOTH_SETS,2UTZGV6B,testing,same DOI as validation paper VPCPTPZL - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,12,10.1200/op.21.00196,NCATS; NIA,Using Geriatric Assessment to Guide Conversations Regarding Comorbidities Among Older Patients With Advanced Cancer.
2,E_IN_BOTH_SETS,2YQ564QT,testing,same DOI as validation paper DGEX5HE7 - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,14,10.1001/jamanetworkopen.2022.36370,NICHD,Impact of Vaping Prevention Advertisements on US Adolescents: A Randomized Clinical Trial.
2,E_IN_BOTH_SETS,32XV68PT,testing,same DOI as validation paper 36I94AIH - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,17,10.1016/j.cct.2024.107494,NCATS,Protocol for a cluster-randomized trial of a school-based skin cancer preventive intervention for adolescents.
2,E_IN_BOTH_SETS,33MGPB3E,testing,same DOI as validation paper 7BJRB6LP - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,11,10.1634/theoncologist.2018-0890,NIA,"Beliefs About Advanced Cancer Curability in Older Patients, Their Caregivers, and Oncologists."
2,E_IN_BOTH_SETS,3BRBKRE4,testing,same DOI as validation paper 2QQAF298 - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,26,10.1016/j.cct.2018.02.018,NIDDK,"Workplace health and safety intervention for child care staff: Rationale, design, and baseline results from the CARE cluster randomized control trial."
2,E_IN_BOTH_SETS,3C5XA7IA,testing,same DOI as validation paper 4QHFZPVG - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,14,10.1186/s13012-020-0973-4,NIAID,Systems analysis and improvement approach to optimize the hypertension diagnosis and care cascade for PLHIV individuals (SAIA-HTN): a hybrid type III cluster  randomized trial.
2,E_IN_BOTH_SETS,3H3GT54W,testing,same DOI as validation paper GVQJHIGK - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,15,10.3390/ijerph19010106,NIDDK,Efficacy of an Enhanced Implementation Strategy to Increase Parent Engagement with a Health Promotion Program in Childcare.
2,E_IN_BOTH_SETS,3KRFH8XE,testing,same DOI as validation paper FEHWGZSQ - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,19,10.1371/journal.pmed.1003964,NIDDK,"Evaluation of an adapted version of the Diabetes Prevention Program for low- and middle-income countries: A cluster randomized trial to evaluate ""Lifestyle  Africa"" in South Africa."
2,E_IN_BOTH_SETS,3LF3TY9W,testing,same DOI as validation paper D24FD6G2 - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,10,10.1111/dme.13840,NIDDK; NINDS,"Automated symptom and treatment side effect monitoring for improved quality of life among adults with diabetic peripheral neuropathy in primary care: a  pragmatic, cluster, randomized, controlled trial."
2,E_IN_BOTH_SETS,3VCQS3N8,testing,same DOI as validation paper KCV63L9X - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,10,10.1016/j.jchf.2023.11.002,NCATS,Impact of Visit Volume on the Effectiveness of Electronic Tools to Improve Heart Failure Care.
2,E_IN_BOTH_SETS,3ZC4NVNY,testing,same DOI as validation paper ZDP4YJ9U - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,13,10.1038/s41467-024-45624-1,NIAID,WASH interventions and child diarrhea at the interface of climate and socioeconomic position in Bangladesh.
2,E_IN_BOTH_SETS,45QRDBNZ,testing,same DOI as validation paper D7FNGV5H - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,9,10.1001/jamaoncol.2019.4728,NIA,Communication With Older Patients With Cancer Using Geriatric Assessment: A Cluster-Randomized Clinical Trial From the National Cancer Institute Community  Oncology Research Program.
2,E_IN_BOTH_SETS,4842MXRJ,testing,same DOI as validation paper BDSYFVYJ - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,16,10.1016/j.jand.2018.08.154,NIDDK,Nutritional Quality of Meals and Snacks Served and Consumed in Family Child Care.
2,E_IN_BOTH_SETS,4D7EX7WA,testing,same DOI as validation paper 4RJRGIRQ - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,16,10.1002/pon.4828,NIDDK; NIMHD,Social support and breast cancer screening in rural Appalachia.
2,E_IN_BOTH_SETS,4GPSLLBZ,testing,same DOI as validation paper PQNBSQLX - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,14,10.1016/j.jacc.2023.02.005,NCATS,Cluster-Randomized Trial Comparing Ambulatory Decision Support Tools to Improve Heart Failure Care.
2,E_IN_BOTH_SETS,4IHUVZLN,testing,same DOI as validation paper 6QNQDH2P - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,27,10.1111/cdev.13432,NIMH,Early Emotion Knowledge and Later Academic Achievement Among Children of Color in Historically Disinvested Neighborhoods.
2,E_IN_BOTH_SETS,4NCCEB97,testing,same DOI as validation paper RKXS5GKB - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,10,10.18865/ed.31.1.47,NIMHD,Social Determinants of Health as Potential Influencers of a Collaborative Care Intervention for Patients with Hypertension.
2,E_IN_BOTH_SETS,4P75RKMV,testing,same DOI as validation paper 4Q7JQUVU - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,17,10.1056/nejmoa1900669,NIA; NIGMS,Effect on Patient Safety of a Resident Physician Schedule without 24-Hour Shifts.
2,E_IN_BOTH_SETS,4RZVCI4Z,testing,same DOI as validation paper 54ZXRGZ7 - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,9,10.5334/egems.284,NICHD; NIDA; NIDDK; NIMH,Priorities Wizard: Multisite Web-Based Primary Care Clinical Decision Support Improved Chronic Care Outcomes with High Use Rates and High Clinician  Satisfaction Rates.
2,E_IN_BOTH_SETS,4SECYYI8,testing,same DOI as validation paper I6GH9T7T - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,9,10.3389/fonc.2022.835582,NIA,A Geriatric Assessment Intervention to Reduce Treatment Toxicity Among Older Adults With Advanced Lung Cancer: A Subgroup Analysis From a Cluster Randomized  Controlled Trial.
2,E_IN_BOTH_SETS,4SMC3YCR,testing,same DOI as validation paper WGQGTBTE - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,20,10.1186/s13063-021-05899-x,NCATS; NIDDK,Dulce Digital-Me: protocol for a randomized controlled trial of an adaptive mHealth intervention for underserved Hispanics with diabetes.
2,E_IN_BOTH_SETS,4XYV8HZY,testing,same DOI as validation paper PVP9PWD9 - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,11,10.1177/17407745231185055,NIA; NICHD; NLM,Assessing the representativeness of cluster randomized trials: Evidence from two large pragmatic trials in United States nursing homes.
2,E_IN_BOTH_SETS,5266YCKT,testing,same DOI as validation paper 9HBYKQR8 - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,13,10.1001/jamanetworkopen.2018.1617,NIDDK,Long-term Outcomes of the Effects of Home Blood Pressure Telemonitoring and Pharmacist Management on Blood Pressure Among Adults With Uncontrolled  Hypertension: Follow-up of a Cluster Randomized Clinical Trial.
2,E_IN_BOTH_SETS,5G5828ED,testing,same DOI as validation paper RHQWSFTR - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,22,10.1177/09622802231172026,NCATS,An overview of optimal designs under a given budget in cluster randomized trials with a binary outcome.
2,E_IN_BOTH_SETS,5M5EWTXL,testing,same DOI as validation paper MPJA6L2H - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,93.3,13,10.1111/josh.12810,NCATS,Breakfast Is Brain Food? The Effect on Grade Point Average of a Rural Group Randomized Program to Promote School Breakfast.
2,E_IN_BOTH_SETS,5NR7NMK7,testing,same DOI as validation paper ILWWS7LD - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,15,10.1186/s13063-023-07900-1,NIMH,The Transdiagnostic Intervention for Sleep and Circadian Dysfunction (TranS-C) for serious mental illness in community mental health part 3: study protocol to  evaluate sustainment in a hybrid type 2 effectiveness-implementation  cluster-randomized trial.
2,E_IN_BOTH_SETS,5SYFNTAR,testing,same DOI as validation paper YAIMEWET - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,11,10.1186/s12913-022-07699-8,FIC,Network characteristics of a referral system for patients with hypertension in Western Kenya: results from the Strengthening Referral Networks for Management of  Hypertension Across the Health System (STRENGTHS) study.
2,E_IN_BOTH_SETS,5VYK75CC,testing,same DOI as validation paper 3MBN8DIA - label leakage if classified blind in the corpus,VERIFIED,DOI_MATCH,100.0,2,10.1080/24733938.2023.2190998,NIDDK,"Individually randomized trial mislabeled as a cluster-randomized trial. Comment on: ""Effectiveness of wearable technology to optimize youth soccer players'  off-training behaviour and training responses: a cluster-randomized trial""."
