paper_id,title,first_author,year,journal,doi,task,round,promptbook_version,split,truth,decision,outcome,confidence,reasoning,promptbook_evidence,cited_rules,status,failure_kind,failure_case,detail,raw_path
H7N83IW2,Evaluating a multicomponent program to improve hypertension control in Guatemala: study protocol for an effectiveness-implementation cluster randomized trial,Paniagua-Avila,2020,Trials,10.1186/s13063-020-04345-8,power_analysis,1,,build,no,,failed,,,,,failed,process,,exit code 1,results\04_classification\raw\power_analysis_v1_r1\576a8d88514686f4.attempt1.jsonl
JCPBMIPX,Cluster-randomized trial comparing organizationally tailored versus standard approach for integrating an evidence-based cancer control intervention into African American churches,Knott,2022,Translational Behavioral Medicine,10.1093/tbm/ibab088,power_analysis,1,,build,no,,failed,,,,,failed,process,,exit code 1,results\04_classification\raw\power_analysis_v1_r1\b3f4577fe948f060.attempt1.jsonl
LU33978L,Improving Communication in Heart Failure Patient Care,Goldstein,2019,Journal of the American College of Cardiology,10.1016/j.jacc.2019.07.058,power_analysis,1,,build,no,,failed,,,,,failed,process,,exit code 1,results\04_classification\raw\power_analysis_v1_r1\7b89aea833a314fd.attempt1.jsonl
TEXLFQSL,Mobile Application-Based Communication Facilitation Platform for Family Members of Critically Ill Patients: A Randomized Clinical Trial,Cox,2024,JAMA network open,10.1001/jamanetworkopen.2023.49666,power_analysis,1,,build,no,,failed,,,,,failed,process,,exit code 1,results\04_classification\raw\power_analysis_v1_r1\a65557f9bc13a7eb.attempt1.jsonl
U7PLGE75,Improving adherence to endocrine hormonal therapy among breast cancer patients: Study protocol for a randomized controlled trial,Chalela,2018,Contemporary Clinical Trials Communications,10.1016/j.conctc.2018.10.001,power_analysis,1,,build,no,,failed,,,,,failed,process,,exit code 1,results\04_classification\raw\power_analysis_v1_r1\242ca4b85161ce09.attempt1.jsonl
UMV6NC2L,A cluster randomized controlled trial comparing Virtual Learning Collaborative and Technical Assistance strategies to implement an early palliative care program for patients with advanced cancer and their caregivers: a study protocol,Zubkoff,2021,Implementation science: IS,10.1186/s13012-021-01086-3,power_analysis,1,,build,no,,failed,,,,,failed,process,,exit code 1,results\04_classification\raw\power_analysis_v1_r1\08d269ab3b888e8b.attempt1.jsonl
UPVYYFVQ,Effects of Different Allotments of Avocados on the Nutritional Status of Families: A Cluster Randomized Controlled Trial,Pacheco,2021,Nutrients,10.3390/nu13114021,power_analysis,1,,build,no,,failed,,,,,failed,parse,D,"1 validation error for Decision
reasoning
  Value error, reasoning is 235 chars, cap is 200 [type=value_error, input_value='Sample size calc uses in... across families noted.', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error",results\04_classification\raw\power_analysis_v1_r1\66596f902f6745bc.attempt1.jsonl
VMHXT33Z,Randomized evaluation of decision support interventions for atrial fibrillation: Rationale and design of the RED-AF study,Jones,2022,American Heart Journal,10.1016/j.ahj.2022.02.010,power_analysis,1,,build,no,,failed,,,,,failed,process,,exit code 1,results\04_classification\raw\power_analysis_v1_r1\2d8a117b03d5218b.attempt1.jsonl
WD74R75C,Performance Feedback for Human Papillomavirus Vaccination: A Randomized Trial From the American Academy of Pediatrics Pediatric Research in Office Settings Research Network,Fiks,2023,Academic Pediatrics,10.1016/j.acap.2022.07.006,power_analysis,1,,build,no,,failed,,,,,failed,process,,exit code 1,results\04_classification\raw\power_analysis_v1_r1\cb8151b42ed4674a.attempt1.jsonl
FHVQQIX3,"Community-based, cluster-randomized pilot trial of a cardiovascular mHealth intervention: Rationale, design, and baseline findings of the FAITH! Trial",Brewer,2022,American Heart Journal,10.1016/j.ahj.2022.01.009,power_analysis,1,,build,yes,yes,true_positive,0.78,"Power analysis specifies clusters (16 churches), ICC=0.01, and CV of cluster sizes=0.50, satisfying clustering requirements. No restricted randomization present (balanced only by size).",P7,P7,ok,,,,results\04_classification\raw\power_analysis_v1_r1\f54980e668138138.attempt1.jsonl
72N55PAH,Diagnosing Cervical Neoplasia in Rural Brazil Using a Mobile Van Equipped with In Vivo Microscopy: A Cluster-Randomized Community Trial,Hunt,2018,"Cancer Prevention Research (Philadelphia, Pa.)",10.1158/1940-6207.capr-17-0265,power_analysis,1,,build,yes,yes,true_positive,0.75,"Sample size calc used cluster randomization score test with 20 clusters of 5 each and effect size, accounting for clustering; no restricted randomization present.",P7,P7,ok,,,,results\04_classification\raw\power_analysis_v1_r1\4395dff1263a3648.attempt1.jsonl
BLWKH6C8,Rationale and protocol for a cluster randomized pragmatic clinical trial testing behavioral economic implementation strategies to improve tobacco treatment rates for cancer patients who smoke,Jenssen,2021,Implementation science: IS,10.1186/s13012-021-01139-7,power_analysis,1,,build,yes,yes,true_positive,0.75,"Simulation-based power used exchangeable correlation (ICC=0.07) within clinician clusters, GEE, cluster count specified. No restricted randomization present.",P7,P7,ok,,,,results\04_classification\raw\power_analysis_v1_r1\cb3a5b17641dd5c0.attempt1.jsonl
2BDG7GVP,A Group Randomized Intervention Trial Increases Participation in the School Breakfast Program in 16 Rural High Schools in Minnesota,Nanney,2019,Journal of the Academy of Nutrition and Dietetics,10.1016/j.jand.2018.12.007,power_analysis,1,,build,no,no,true_negative,0.9,No sample-size/power analysis reported at all in this manuscript; refers to design elsewhere without ICC/effect size/cluster count here.,P6,P6,ok,,,,results\04_classification\raw\power_analysis_v1_r1\84c082b77f9d7b5a.attempt1.jsonl
BR4Y6FSS,"Utilization of Mobile Reminders in Improving the Completeness and Timeliness of Routine Childhood Immunization in Kano Metropolis, Nigeria: A Randomized Controlled Trial",Yunusa,2024,Journal of Pediatric Health Care: Official Publication of National Association of Pediatric Nurse Associates & Practitioners,10.1016/j.pedhc.2024.03.002,power_analysis,1,,build,no,no,true_negative,0.9,"Sample size calc used individual-level formula (Charan & Biswas) with proportions only; no ICC, design effect, or cluster count reported.",P8,P8,ok,,,,results\04_classification\raw\power_analysis_v1_r1\d556d69856a2357c.attempt1.jsonl
DCYTWR4N,Impact of Clinical Decision Support on Antibiotic Prescribing for Acute Respiratory Infections: a Cluster Randomized Implementation Trial,Mann,2020,Journal of General Internal Medicine,10.1007/s11606-020-06096-3,power_analysis,1,,build,no,no,true_negative,0.9,"No sample size/power justification described anywhere in manuscript; absent, not undecidable.",P6,P6,ok,,,,results\04_classification\raw\power_analysis_v1_r1\5dd036f4e179de29.attempt1.jsonl
NQ4Y7FIA,Caring for the elderly at work and home: Can a randomized organizational intervention improve psychological health?,Kossek,2019,Journal of Occupational Health Psychology,10.1037/ocp0000104,power_analysis,1,,build,no,no,true_negative,0.9,No power analysis reported in this manuscript; sample size justification absent entirely.,P6,P6,ok,,,,results\04_classification\raw\power_analysis_v1_r1\66d3f8b992f92766.attempt1.jsonl
BW2B5H9P,Design of the Equity in Prevention and Progression of Hypertension by Addressing Barriers to Nutrition and Physical Activity Study: A Cluster Randomized Trial,Hardy,2023,American Journal of Hypertension,10.1093/ajh/hpad011,power_analysis,1,,build,no,no,true_negative,0.85,"Sample size gives 88% power for 4mmHg difference with n=480 individuals, no ICC, design effect, or cluster count used—individual-level calculation ignoring clustering.",P8,P8,ok,,,,results\04_classification\raw\power_analysis_v1_r1\eaafddb0becf82e2.attempt1.jsonl
KMRQTRP3,Clinician Prompts for Human Papillomavirus Vaccination: A Cluster Randomized Trial,Rand,2024,Academic Pediatrics,10.1016/j.acap.2023.10.011,power_analysis,1,,build,no,no,true_negative,0.85,"Only states 90% power to detect 5pp difference; no ICC/design effect, no cluster count, no mention of constrained randomization accounted for.",P6,P6,ok,,,,results\04_classification\raw\power_analysis_v1_r1\c287c6da684c7c35.attempt1.jsonl
SGCHKJTH,"Multilevel approaches to increase fruit and vegetable intake in low-income housing communities: final results of the 'Live Well, Viva Bien' cluster-randomized trial",Gans,2018,The International Journal of Behavioral Nutrition and Physical Activity,10.1186/s12966-018-0704-2,power_analysis,1,,build,no,no,true_negative,0.85,"No power/sample size justification described in this manuscript; refers to prior protocol paper only, and matched-pair design not addressed.",P6,P6,ok,,,,results\04_classification\raw\power_analysis_v1_r1\52df9b78c620d672.attempt1.jsonl
ZETJJPRR,Effectiveness of a Multicomponent Strategy for Implementing Guidelines for Treating Tobacco Use in Vietnam Commune Health Centers,Shelley,2022,Nicotine & Tobacco Research: Official Journal of the Society for Research on Nicotine and Tobacco,10.1093/ntr/ntab189,power_analysis,1,,build,no,no,true_negative,0.85,No sample-size/power justification is presented in this manuscript; only ICC ranges reported post hoc for outcomes measured.,P6,P6,ok,,,,results\04_classification\raw\power_analysis_v1_r1\ffc2324ebdf82d77.attempt1.jsonl
26LDPI8G,"Results of a cluster randomized trial testing the Systems Analysis and Improvement Approach to increase cervical cancer screening in family planning clinics in Mombasa County, Kenya",Eastment,2023,Implementation science: IS,10.1186/s13012-023-01322-y,power_analysis,1,,build,no,no,true_negative,0.75,"ICC and cluster size CV used for clustering, but restricted randomization (stratified by clinic size/baseline screening) not incorporated into power calc.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\89c10d372dc2a311.attempt1.jsonl
6XFGQN39,Enhanced care planning and clinical-community linkages versus usual care to address basic needs of patients with multiple chronic conditions: a clinician-level randomized controlled trial,Krist,2020,Trials,10.1186/s13063-020-04463-3,power_analysis,1,,build,no,no,true_negative,0.75,"Clinicians stratified/matched by age and sex (restricted randomization) but power calc only uses ICC for clinician clustering, ignoring matching correlation.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\361f6378c64c7024.attempt1.jsonl
84YU8UCD,Equitable Care for Hypertension: Blood Pressure and Patient-Reported Outcomes of the RICH LIFE Cluster Randomized Trial,Cooper,2024,Circulation,10.1161/circulationaha.124.069622,power_analysis,1,,build,no,no,true_negative,0.75,"Power calc used ICC and cluster count (clustering handled), but randomization was stratified/block-constrained by health system with no accounting for that correlation.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\794745ffad9278cd.attempt1.jsonl
SH5J2R2J,Evaluation of a walking school bus program: a cluster randomized controlled trial,Johnson,2024,The International Journal of Behavioral Nutrition and Physical Activity,10.1186/s12966-024-01602-w,power_analysis,1,,build,no,no,true_negative,0.75,"Schools matched pairs & stratified by site (restricted randomization), but sample size only used ICC/VIF for clustering, no matching correlation adjustment.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\c132213e1d024c3d.attempt1.jsonl
TBFRUAMD,Mailed fecal testing and patient navigation versus usual care to improve rates of colorectal cancer screening and follow-up colonoscopy in rural Medicaid enrollees: a cluster-randomized controlled trial,Coronado,2022,Implementation Science Communications,10.1186/s43058-022-00285-3,power_analysis,1,,build,no,no,true_negative,0.75,"Randomization was stratified by health system, but power calc only uses ICC/cluster size, ignoring stratification-induced correlation.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\1dde6d6489b6cf5c.attempt1.jsonl
TGSIADX6,Design and rationale of a pragmatic trial integrating routine screening for atrial fibrillation at primary care visits: The VITAL-AF trial,Ashburner,2019,American Heart Journal,10.1016/j.ahj.2019.06.011,power_analysis,1,,build,no,no,true_negative,0.75,"Constrained/covariate-balanced randomization was used (P10) but power calc only used ICC for clustering, no correlation adjustment for restriction (P12).",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\b57cdae87ba69d35.attempt1.jsonl
UHEKLJLC,A Cluster-Randomized Evaluation of the SuperShelf Intervention in Choice-Based Food Pantries,Caspi,2024,Annals of Behavioral Medicine: A Publication of the Society of Behavioral Medicine,10.1093/abm/kaad060,power_analysis,1,,build,no,no,true_negative,0.75,Power calc uses ICC=0.05 (clustering handled) but randomization was matched on RUCA/catchment/interventionist; matching correlation not addressed.,P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\2c735c5e5ac78638.attempt1.jsonl
XFPCQLGP,Health insurance coverage with or without a nurse-led task shifting strategy for hypertension control: A pragmatic cluster randomized trial in Ghana,Ogedegbe,2018,PLoS medicine,10.1371/journal.pmed.1002561,power_analysis,1,,build,no,no,true_negative,0.75,Sample size uses ICC and cluster count (clustering handled) but pair-matching by rural/urban is not reflected in the calculation.,P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\b448ee6d72a14a9f.attempt1.jsonl
5VWZPNEQ,"Putting patients at the center of kidney care transitions: PREPARE NOW, a cluster randomized controlled trial",Green,2018,Contemporary Clinical Trials,10.1016/j.cct.2018.09.004,power_analysis,1,,build,no,no,true_negative,0.72,"Power analysis accounts for clustering (8 clinics, ICC=0.05) but randomization was constrained by clinic size/region; that restriction correlation isn't incorporated.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\3629f275ee1b69cd.attempt1.jsonl
C69UAKKB,Using increased trust in medical researchers to increase minority recruitment: The RECRUIT cluster randomized clinical trial,Tilley,2021,Contemporary Clinical Trials,10.1016/j.cct.2021.106519,power_analysis,1,,build,no,no,true_negative,0.72,"Sites were matched into pairs on covariates (P10), but power calc only used ICC=0.10 with no matching correlation adjustment—restriction ignored while clustering handled (P12).",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\cf14a6ea26bfd1cf.attempt1.jsonl
C9P63S2B,Team-focused implementation strategies to improve implementation of mental health screening and referral in rural Children's Advocacy Centers: study protocol for a pilot cluster randomized hybrid type 2 trial,McGuier,2023,Implementation Science Communications,10.1186/s43058-023-00437-z,power_analysis,1,,build,no,no,true_negative,0.72,"CACs pair-matched by team size before randomization (P10), but power calc for primary outcome only uses ICC/design effect, not matching correlation (P12).",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\b7fb7b4d66739816.attempt1.jsonl
CKEF67C5,Personalized Multilevel Intervention for Improving Appropriate Use of Colorectal Cancer Screening in Older Adults: A Cluster Randomized Clinical Trial,Saini,2023,JAMA internal medicine,10.1001/jamainternmed.2023.5656,power_analysis,1,,build,no,no,true_negative,0.72,"Power calc used ICC=0.02, cluster count, effect size (clustering handled), but randomization was stratified by site/FTE with no adjustment for stratum correlation.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\8525098a30589138.attempt1.jsonl
DFJE8ALD,Two-year outcomes of Faith in Action/Fe en Acción: a randomized controlled trial of physical activity promotion in Latinas,Arredondo,2022,The International Journal of Behavioral Nutrition and Physical Activity,10.1186/s12966-022-01329-6,power_analysis,1,,build,no,no,true_negative,0.72,"Power analysis used ICC=0.05 with 16 clusters (clustering handled), but churches were stratified by size before randomization and stratum correlation not accounted for.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\982c42d9a13b5f8c.attempt1.jsonl
L8CPLJYW,A study protocol to engage religious leaders to reduce blood pressure in Tanzanian communities: A cluster randomized trial,Kavishe,2025,Contemporary Clinical Trials,10.1016/j.cct.2025.107884,power_analysis,1,,build,no,no,true_negative,0.72,"Clustering handled via ICC/Monte Carlo simulation, but randomization was stratified by population size with no accounting for stratum correlation in power calc.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\82afa061a90c9c8b.attempt1.jsonl
MTLFVN94,Managing high cardiovascular disease risk among adults in Argentina using a multicomponent strategy linking key aspects of care: A two-arm cluster-randomized clinical trial (PRIMECare) protocol,Abrahams-Gessel,2023,Contemporary Clinical Trials,10.1016/j.cct.2023.107357,power_analysis,1,,build,no,no,true_negative,0.72,"ICC (0.08) used for clustering, but randomization stratified by province with no accounting for stratum correlation in sample size calc.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\c9da926dcba2555b.attempt1.jsonl
WCA66X4I,Design and rationale of an intervention to improve cancer prevention using clinical decision support and shared decision making: A clinic-randomized trial,Elliott,2021,Contemporary Clinical Trials,10.1016/j.cct.2021.106271,power_analysis,1,,build,no,no,true_negative,0.72,"Clinics were stratified (rural/urban, Medicaid %) before randomization, but power calc only used ICC/design effect, not stratification correlation (P12).",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\52d7042ca419db5c.attempt1.jsonl
4GUDDLNQ,A cluster randomized factorial trial of school-lunch salad bars and marketing on elementary students' objectively measured fruit and vegetable consumption,Adams,2025,The International Journal of Behavioral Nutrition and Physical Activity,10.1186/s12966-025-01758-z,power_analysis,1,,build,no,no,true_negative,0.68,Power calc used autocorrelation between school means (clustering) but design was block-randomized (block size=4); no accounting for restriction-induced correlation.,P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\6425305c44332041.attempt1.jsonl
HPIL7WVW,Effect of an Oncology Nurse-Led Primary Palliative Care Intervention on Patients With Advanced Cancer: The CONNECT Cluster Randomized Clinical Trial,Schenker,2021,JAMA internal medicine,10.1001/jamainternmed.2021.5185,power_analysis,1,,build,no,no,true_negative,0.65,"Randomization stratified by practice size (P10) but power calc only used ICC/design effect for clustering, no stratum correlation accounted (P12).",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\47eb19461f356d3d.attempt1.jsonl
9LTSBSEE,Effect of Training Pediatric Clinicians in Human Papillomavirus Communication Strategies on Human Papillomavirus Vaccination Rates: A Cluster Randomized Clinical Trial,Szilagyi,2021,JAMA pediatrics,10.1001/jamapediatrics.2021.0766,power_analysis,1,,build,no,no,true_negative,0.6,"No sample size/power calculation with ICC, effect size, cluster count given; only mentions >90% power to detect 5pp difference with design effect ~2, no derivation shown.",P5,P5,ok,,,,results\04_classification\raw\power_analysis_v1_r1\02df2544984b0cb0.attempt1.jsonl
