paper_id,folder,folder_path,title,first_author,doi,pmid,pmcid,year,journal,attachment_key,md5,status,detail,warning,verdict,title_score,set,fetched_at
DAHVXML2,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,Effect of a Multisectoral Agricultural Intervention on HIV Health Outcomes Among Adults in Kenya: A Cluster Randomized Clinical Trial.,Cohen,10.1001/jamanetworkopen.2022.46158,36508217,PMC9856331,2022,JAMA network open,6VK3WMGR,24fb7886bec90cce49af69ff4899ebcd,OK,downloaded,,,,testing,2026-08-06T22:20:03.633106+00:00
DYBSQUK6,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,Integrating community-based HIV and non-communicable disease care with microfinance groups: a feasibility study in Western Kenya.,Kafu,10.1186/s40814-022-01218-6,36578093,PMC9795156,2022,Pilot and feasibility studies,DDQ24GX9,7e6dda4787e5bf69865fc2f37074d334,OK,downloaded,"2 PDF attachments, picked highest priority: Full Text PDF; Full Text PDF",,,testing,2026-08-06T22:20:04.164280+00:00
QRUEDYP9,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,"Relationship Power, Antiretroviral Adherence, and Physical and Mental Health Among Women Living with HIV in Rural Kenya.",Burger,10.1007/s10461-022-03775-6,36001201,PMC9908627,2023,AIDS and behavior,5ZBLN6FD,2ad0e6886e0b1ddb3bccfe375a9096b0,OK,downloaded,"2 PDF attachments, picked highest priority: Full Text PDF; Full Text PDF",,,testing,2026-08-06T22:20:04.779839+00:00
C5BF9JWU,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,Impact of a livelihood intervention on gender roles and relationship power among people with HIV.,Sheira,10.1097/qad.0000000000003742,37788108,PMC10842405,2024,"AIDS (London, England)",N596P8HI,0adccd9c23f493cff6f767662f64e8d7,OK,downloaded,,,,testing,2026-08-06T22:20:05.281587+00:00
XGC9TCX5,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,Prevalence and correlates of internalized stigma among adults with HIV and major depressive disorder in rural Malawi.,Mpinga,10.1080/09540121.2023.2195609,37001058,PMC10544700,2023,AIDS care,WUWDNV8W,d0933bf6d3858e5b7436612f71bb57fb,OK,downloaded,,,,testing,2026-08-06T22:20:05.792616+00:00
6SQ7YL4X,FIC; NIEHS,Boring Task / FIC; Boring Task / NIEHS,Prenatal Household Air Pollution Exposure and Childhood Blood Pressure in Rural Ghana.,Daouda,10.1289/ehp13225,38506828,PMC10953816,2024,Environmental health perspectives,8F6QW4JN,da4a144fbef7e0b5e125034b66e0d3d4,OK,downloaded,"2 PDF attachments, picked highest priority: Submitted Version; Submitted Version",,,testing,2026-08-06T22:20:06.422884+00:00
8FUCYVJQ,FIC; NIEHS; NIMH,Boring Task / FIC; Boring Task / NIEHS; Boring Task / NIMH,"""If you have light, your heart will be at peace"": A qualitative study of household lighting and social integration in southwestern Uganda.",Ponticiello,10.7189/jogh.13.04026,37052216,PMC10099441,2023,Journal of global health,ID78UVUK,f5b139b5d53564b4cf6355438195bf10,OK,downloaded,,,,testing,2026-08-06T22:20:06.961041+00:00
ANIN6LRK,FIC; NIDA; NIMH,Boring Task / FIC; Boring Task / NIDA; Boring Task / NIMH,A community approach to promote healthcare services for people living with HIV who use drugs in Vietnam.,Li,10.1177/09564624211053430,34727808,PMC10443225,2022,International journal of STD & AIDS,DZCW8CGT,7926d136da30afba7e8c4d85bfa569f1,OK,downloaded,,,,testing,2026-08-06T22:20:07.474441+00:00
PU3W7CKM,FIC; NCATS; NIDA,Boring Task / FIC; Boring Task / NCATS; Boring Task / NIDA,Integrating methadone into primary care settings in Ukraine: effects on provider stigma and knowledge.,Bromberg,10.1002/jia2.26202,38379179,PMC10879646,2024,Journal of the International AIDS Society,3RWKM9ZA,95778deb8f074da0fd8310dda4f52267,OK,downloaded,,,,testing,2026-08-06T22:20:07.930115+00:00
S8AWREET,FIC; NIDA; NIMH,Boring Task / FIC; Boring Task / NIDA; Boring Task / NIMH,Comparative effectiveness of implementation strategies for Accelerating Cervical Cancer Elimination through the integration of Screen-and-treat Services (ACCESS  study): protocol for a cluster randomized hybrid type III trial in Nigeria.,Olakunde,10.1186/s13012-024-01349-9,38468266,PMC10926605,2024,Implementation science : IS,RDG79GDC,8516a2260ebc2d86e38726efb9b505cd,OK,downloaded,,,,testing,2026-08-06T22:20:08.447573+00:00
GZB2QRQN,FIC; NIDA; NIEHS,Boring Task / FIC; Boring Task / NIDA; Boring Task / NIEHS,Examining local smoke-free coalitions in Armenia and Georgia: context and outcomes of a matched-pairs community-randomised controlled trial.,Berg,10.1136/bmjgh-2023-013282,38325896,PMC10859987,2024,BMJ global health,9E6T89RT,23113579ee44242cda699cd4ce1a6035,OK,downloaded,"3 PDF attachments, picked highest priority: Full Text PDF; Full Text PDF; Full Text PDF",,,testing,2026-08-06T22:20:09.075622+00:00
JKT92VFB,FIC; NIDDK,Boring Task / FIC; Boring Task / NIDDK,Cost-effectiveness of a faith-based lifestyle intervention for diabetes prevention among African Americans: A within-trial analysis.,Rhodes,10.1016/j.diabres.2018.09.016,30273708,PMC6295256,2018,Diabetes research and clinical practice,WZDN8C63,71d6546d2f5af98ba28eb1232de0217e,OK,downloaded,,,,testing,2026-08-06T22:20:09.550154+00:00
TKCQ9UIA,FIC; NIDDK,Boring Task / FIC; Boring Task / NIDDK,A peer-support lifestyle intervention for preventing type 2 diabetes in India: A cluster-randomized controlled trial of the Kerala Diabetes Prevention Program.,Thankappan,10.1371/journal.pmed.1002575,29874236,PMC5991386,2018,PLoS medicine,WKJGQGET,c743747ceb1dff1f93a3fdd53c748b96,OK,downloaded,,,,testing,2026-08-06T22:20:10.099211+00:00
YWLVFMNJ,FIC; NCATS; NIDDK; NINDS,Boring Task / FIC; Boring Task / NCATS; Boring Task / NIDDK; Boring Task / NINDS,Underweight children older than 5 years with sickle cell anemia are at risk for early mortality in a low-resource setting.,Klein,10.1182/bloodadvances.2022008623,36383708,PMC10230165,2023,Blood advances,KEMXT68M,e1b2e7e6033cb9782b15986df82f6925,OK,downloaded,,,,testing,2026-08-06T22:20:10.700431+00:00
YRGUW8FA,FIC; NICHD,Boring Task / FIC; Boring Task / NICHD,A Qualitative Assessment of Provider and Client Experiences With 3- and 6-Month Dispensing Intervals of Antiretroviral Therapy in Malawi.,Hubbard,10.9745/ghsp-d-19-00286,32015007,PMC7108939,2020,"Global health, science and practice",KSSBM7V9,a74ad9641c655f662d31d0811f768e4c,OK,downloaded,"2 PDF attachments, picked highest priority: Full Text PDF; Full Text PDF",,,testing,2026-08-06T22:20:11.177765+00:00
LU2WMVMD,FIC; NICHD,Boring Task / FIC; Boring Task / NICHD,Criterion-related validity and reliability of the Urdu version of the patient health questionnaire in a sample of community-based pregnant women in Pakistan.,Gallis,10.7717/peerj.5185,30038858,PMC6054083,2018,PeerJ,Q4IHS8IB,bfd7ffa4696be0468d6ac5a86d98810b,OK,downloaded,"2 PDF attachments, picked highest priority: Full Text PDF; Full Text PDF",,,testing,2026-08-06T22:20:11.788423+00:00
ZRSEM79M,FIC; NICHD; NIMH,Boring Task / FIC; Boring Task / NICHD; Boring Task / NIMH,Socioeconomic status indicators and common mental disorders: Evidence from a study of prenatal depression in Pakistan.,Maselko,10.1016/j.ssmph.2017.10.004,29349268,PMC5769091,2018,SSM - population health,7VF5MDWP,a36e2a68886971829255bdc5a512d26e,OK,downloaded,,,,testing,2026-08-06T22:20:12.386978+00:00
LNPUWIK5,FIC; NCATS; NICHD,Boring Task / FIC; Boring Task / NCATS; Boring Task / NICHD,"The ""Family Health = Family Wealth"" intervention: study protocol for a pilot quasi-experimental controlled trial of a multi-level, community-based family  planning intervention for couples in rural Uganda.",Sileo,10.1186/s40814-022-01226-6,36564852,PMC9789630,2022,Pilot and feasibility studies,JRZ4HECB,90343ad5444d9b943f51f946b8b9a7e3,OK,downloaded,,,,testing,2026-08-06T22:20:13.085638+00:00
C29IZV8T,FIC; NICHD,Boring Task / FIC; Boring Task / NICHD,Characterizing provider-led adaptations to mobile phone delivery of the Adolescent Transition Package (ATP) in Kenya using the Framework for Reporting  Adaptations and Modifications to Evidence-based Implementation Strategies  (FRAME-IS): a mixed methods approach.,Mangale,10.1186/s43058-023-00446-y,37580836,PMC10424422,2023,Implementation science communications,TCQARVW5,66631af537af83c22a27017054e93ec9,OK,downloaded,,,,testing,2026-08-06T22:20:13.640132+00:00
7DGXAJHT,FIC; NICHD,Boring Task / FIC; Boring Task / NICHD,"Improving uptake of prevention of mother-to-child HIV transmission services in Benue State, Nigeria through a faith-based congregational strategy.",Montandon,10.1371/journal.pone.0260694,34855849,PMC8638953,2021,PloS one,5IJ4EWQM,c0a3f4b74e83c5548c90915bde2a3198,OK,downloaded,,,,testing,2026-08-06T22:20:14.230883+00:00
H7JAZNJ5,FIC; NICHD,Boring Task / FIC; Boring Task / NICHD,Group Antenatal Care in Ghana: Protocol for a Cluster Randomized Controlled Trial.,Lori,10.2196/40828,36083608,PMC9508671,2022,JMIR research protocols,UHDRXKTF,8241af472b93582fe91ced04b4e5bc48,OK,downloaded,,,,testing,2026-08-06T22:20:14.719627+00:00
7NCQB6VM,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,Factors Associated With Poor Linkage to Human Immunodeficiency Virus Care Among Index Clients and Sex Partners Receiving Human Immunodeficiency Virus Assisted  Partner Services in Kenya.,Wamuti,10.1097/olq.0000000000001222,32815902,PMC7447121,2020,Sexually transmitted diseases,JTJVGJ3C,1c5d49b651654e7d8d6151607677cc55,OK,downloaded,,,,testing,2026-08-06T22:20:15.320467+00:00
5LE3ZJDV,FIC; NIAID; NIMH,Boring Task / FIC; Boring Task / NIAID; Boring Task / NIMH,Using Assisted Partner Services for HIV Testing and the Treatment of Males and Their Female Sexual Partners: Protocol for an Implementation Science Study.,Kariithi,10.2196/27262,34014172,PMC8176338,2021,JMIR research protocols,APSGLUE6,8c67c81ed720804b14afc3a28f5fe106,OK,downloaded,,,,testing,2026-08-06T22:20:15.737535+00:00
RFLPDXC9,FIC; NIAID; NIMH,Boring Task / FIC; Boring Task / NIAID; Boring Task / NIMH,"""When I Eat Well, I Will Be Healthy, and the Child Will Also Be Healthy"": Maternal Nutrition among HIV-Infected Women Enrolled in a Livelihood Intervention  in Western Kenya.",McDonough,10.1093/cdn/nzaa032,32270133,PMC7127924,2020,Current developments in nutrition,P6SHZYZE,f7109109e606f307daee47c4f1005d18,OK,downloaded,,,,testing,2026-08-06T22:20:16.245334+00:00
FR7ETLVC,FIC; NCATS; NIAID; NIMH,Boring Task / FIC; Boring Task / NCATS; Boring Task / NIAID; Boring Task / NIMH,Evaluating the integration of HIV self-testing into low-resource health systems: study protocol for a cluster-randomized control trial from EQUIP Innovations.,Dovel,10.1186/s13063-018-2878-y,30223874,PMC6142354,2018,Trials,YWYNQXA9,ecf78b002c8c07942efbb66c6bafd8b6,OK,downloaded,"3 PDF attachments, picked highest priority: Full Text PDF; Full Text PDF; Full Text PDF",,,testing,2026-08-06T22:20:16.775609+00:00
54QV3L64,FIC; NIAID; NICHD,Boring Task / FIC; Boring Task / NIAID; Boring Task / NICHD,Pay-it-forward gonorrhea and chlamydia testing among men who have sex with men in China: a study protocol for a three-arm cluster randomized controlled trial.,Zhang,10.1186/s40249-019-0581-1,31426869,PMC6700988,2019,Infectious diseases of poverty,PLDQT5AI,7069cc3c166f9417b61e293a7d95a70c,OK,downloaded,,,,testing,2026-08-06T22:20:17.439691+00:00
VIFXB2GP,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,"The impact of insecticide treated curtains on dengue virus transmission: A cluster randomized trial in Iquitos, Peru.",Lenhart,10.1371/journal.pntd.0008097,32275653,PMC7176142,2020,PLoS neglected tropical diseases,K6CRFIYN,194280cba73ddc203932f15fe80867ac,OK,downloaded,,,,testing,2026-08-06T22:20:18.121563+00:00
3L7C4W4M,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,Index participant characteristics and HIV assisted partner services efficacy in Kenya: results of a cluster randomized trial.,Masyuko,10.1002/jia2.25305,31321887,PMC6639668,2019,Journal of the International AIDS Society,ADQ8UPD7,043a2aec36d5a508aa7e646cec1800bd,OK,downloaded,,,,testing,2026-08-06T22:20:18.822708+00:00
V44RWJGQ,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,The effect of community-driven larval source management and house improvement on malaria transmission when added to the standard malaria control strategies in  Malawi: a cluster-randomized controlled trial.,McCann,10.1186/s12936-021-03769-0,34022912,PMC8140568,2021,Malaria journal,GAY58AXW,e675d10a26e5fd0a1b1beddca898da25,OK,downloaded,,,,testing,2026-08-06T22:20:19.341839+00:00
9XNWIRFN,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,Brief Report: HIV Assisted Partner Services Among Those With and Without a History of Intimate Partner Violence in Kenya.,Goyette,10.1097/qai.0000000000001638,29406431,PMC5889336,2018,Journal of acquired immune deficiency syndromes (1999),3JRA8R59,7ba4853ec6c82bf46ba55af8d0af3509,OK,downloaded,,,,testing,2026-08-06T22:20:19.907207+00:00
WRX37RXT,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,Closing the gap: A novel metric of change in performance.,Katuramu,,32817932,PMC7428843,2019,East African journal of applied health monitoring and evaluation,ZFTT4WDG,5c2d835a78f6d9eb5c7f0e2e876f093e,OK,downloaded,,,,testing,2026-08-06T22:20:20.317066+00:00
D89RHEEM,FIC; NIAID; NIMH,Boring Task / FIC; Boring Task / NIAID; Boring Task / NIMH,Population-level viral suppression among pregnant and postpartum women in a universal test and treat trial.,Kabami,10.1097/qad.0000000000002564,32472768,PMC7360881,2020,"AIDS (London, England)",GF38UNQ8,4864bf26c8e113ad031ebf4ffb72f4e5,OK,downloaded,,,,testing,2026-08-06T22:20:20.815165+00:00
WE9IZ3BJ,FIC; NCATS; NIAID,Boring Task / FIC; Boring Task / NCATS; Boring Task / NIAID,The impact of a community health worker intervention on uptake of antenatal care: a cluster-randomized pragmatic trial in Dar es Salaam.,Regan,10.1093/heapol/czac100,36377764,PMC10019560,2023,Health policy and planning,N5KPTA3E,16f17c1688ebd22a7955baab2e462f7b,OK,downloaded,,,,testing,2026-08-06T22:20:21.333388+00:00
A2THBVEB,FIC; NIAID; NIMH,Boring Task / FIC; Boring Task / NIAID; Boring Task / NIMH,Uptake and acceptability of oral HIV self-testing in the context of assisted partner services in Western Kenya: A mixed-methods analysis.,Mudhune,10.1371/journal.pgph.0003960,39546456,PMC11567626,2024,PLOS global public health,ECIX6F3A,cc754cce2e6c3db85f45ac694b70ac71,OK,downloaded,,,,testing,2026-08-06T22:20:21.800293+00:00
G2HT8C7B,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,Economic evaluation of facility-based HIV self-testing among adult outpatients in Malawi.,Nichols,10.1002/jia2.25612,32909387,PMC7507468,2020,Journal of the International AIDS Society,6RRZM7K2,b525167dbae6caccfa07b73c063145dd,OK,downloaded,,,,testing,2026-08-06T22:20:22.331290+00:00
975GWKXJ,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,Theory-Informed Design of a Tailored Strategy for Implementing Household TB Contact Investigation in Uganda.,Davis,10.3389/fpubh.2022.837211,35400072,PMC8987305,2022,Frontiers in public health,8RHLWDLY,f0bfa01cc274ca25dba79222d4a1d90d,OK,downloaded,"2 PDF attachments, picked highest priority: Full Text PDF; Full Text PDF",,,testing,2026-08-06T22:20:22.897919+00:00
JG2L3WXC,FIC; NIAID; NIMH,Boring Task / FIC; Boring Task / NIAID; Boring Task / NIMH,An agricultural livelihood intervention is associated with reduced HIV stigma among people with HIV.,Weiser,10.1097/qad.0000000000003928,38752558,PMC12439198,2024,"AIDS (London, England)",WMIM363P,5d529a2c5fcef4535b10cdadc36eef2d,OK,downloaded,,,,testing,2026-08-06T22:20:23.362098+00:00
KAKALPWJ,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,Longitudinal Analysis of the Intestinal Microbiota among a Cohort of Children in Rural and Urban Areas of Pakistan.,Balaji,10.3390/nu15051213,36904212,PMC10005232,2023,Nutrients,2J23CK85,3c5bca6936a3a126f3c47e0495a5807b,OK,downloaded,,,,testing,2026-08-06T22:20:23.825785+00:00
AMFFBXEX,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,"Programmatic Effectiveness of a Pediatric Typhoid Conjugate Vaccine Campaign in Navi Mumbai, India.",Hoffman,10.1093/cid/ciad132,36947143,PMC10320126,2023,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,B8FKBZKR,ec3b0127fadae5b1ab53686ec51ffaf1,OK,downloaded,,,,testing,2026-08-06T22:20:24.476943+00:00
FKIWIE6C,FIC; NIAID,Boring Task / FIC; Boring Task / NIAID,Evaluating the Role of Corrals and Insects in the Transmission of Porcine Cysticercosis: A Cohort Study.,Gonzales-Gustavson,10.3390/pathogens12040597,37111483,PMC10143142,2023,"Pathogens (Basel, Switzerland)",8WB56U2R,e3100600b3a6a927e26787310f3682da,OK,downloaded,"2 PDF attachments, picked highest priority: Submitted Version; Submitted Version",,,testing,2026-08-06T22:20:24.949494+00:00
JQEMYPQL,FIC; NIAAA; NIMH,Boring Task / FIC; Boring Task / NIAAA; Boring Task / NIMH,Scale-Up Study Protocol of the Implementation of a Mobile Health SBIRT Approach for Alcohol Use Reduction in Mozambique.,Suleman,10.1176/appi.ps.202000086,34126774,PMC8487890,2021,"Psychiatric services (Washington, D.C.)",HM8SB8A2,9723fb7e384f796d1e8178b8a5bb9624,OK,downloaded,,,,testing,2026-08-06T22:20:25.552714+00:00
JT56SZZ3,FIC; NIAAA; NIMH,Boring Task / FIC; Boring Task / NIAAA; Boring Task / NIMH,Partnerships in Research to Implement and Disseminate Sustainable and Scalable Evidence-Based Practices (PRIDE) in Mozambique.,Wainberg,10.1176/appi.ps.202000090,33334157,PMC8211906,2021,"Psychiatric services (Washington, D.C.)",EE583DCF,ea2745266509a34e68acd28443aae16a,OK,downloaded,,,,testing,2026-08-06T22:20:26.034164+00:00
HB3Q87CC,FIC; NIA; NIAID; NICHD,Boring Task / FIC; Boring Task / NIA; Boring Task / NIAID; Boring Task / NICHD,"Community delivery of antiretroviral drugs: A non-inferiority cluster-randomized pragmatic trial in Dar es Salaam, Tanzania.",Geldsetzer,10.1371/journal.pmed.1002659,30231024,PMC6145501,2018,PLoS medicine,7IXGUMDA,d3091024a8d363b65d31ac458dd34643,OK,downloaded,"3 PDF attachments, picked highest priority: Full Text PDF; Full Text PDF; Full Text PDF",,,testing,2026-08-06T22:20:26.607089+00:00
6A7TZZ7L,FIC; NIA; NIAID,Boring Task / FIC; Boring Task / NIA; Boring Task / NIAID,Acceptability and feasibility of mobile phone-based ecological momentary assessment and intervention in Uganda: A pilot randomized controlled trial.,Beres,10.1371/journal.pone.0273228,36018846,PMC9416993,2022,PloS one,5638R6X4,baea26fde6066063c24f724a8db61128,OK,downloaded,"2 PDF attachments, picked highest priority: Full Text PDF; Full Text PDF",,,testing,2026-08-06T22:20:27.312315+00:00
QWFWGIKM,FIC; NEI,Boring Task / FIC; Boring Task / NEI,Diagnostic accuracy of smartphone corneal photography for detection of corneal opacities in a resource-limited setting: a community-based study.,Cao,10.1097/coa.0000000000000018,38076595,PMC10704780,2023,Cornea open,9SJRSGK6,0106d49e0cb6523fd0b43158bf9f3881,OK,downloaded,,,,testing,2026-08-06T22:20:27.921272+00:00
LBP7P8GQ,FIC,Boring Task / FIC,Acceptability and feasibility of a behavioral and mobile health intervention (COMBIND) shown to increase uptake of prevention of mother to child transmission  (PMTCT) care in India.,Suryavanshi,10.1186/s12889-020-08706-5,32448299,PMC7245843,2020,BMC public health,UJJU383I,c6bc4cfbc8e51243ebe1add7f120eaa2,OK,downloaded,,,,testing,2026-08-06T22:20:28.481497+00:00
XLZZWDJ6,FIC,Boring Task / FIC,"Unintentional falls among children in rural Ghana and associated factors: a cluster-randomized, population-based household survey.",Gyedu,10.11604/pamj.2021.38.401.28313,34381545,PMC8325452,2021,The Pan African medical journal,NZJVJWCD,32daae12881c5c8b4a4650d9899c604f,OK,downloaded,,,,testing,2026-08-06T22:20:29.006617+00:00
GRFG8B67,FIC,Boring Task / FIC,Factors associated with diarrhea and acute respiratory infection in children under two years of age in rural Bangladesh.,Ullah,10.1186/s12887-019-1738-6,31656181,PMC6815354,2019,BMC pediatrics,E439K3X4,25cce043bd604c2c8a2c8d481ca9c617,OK,downloaded,,,,testing,2026-08-06T22:20:29.514027+00:00
5S443YA7,FIC,Boring Task / FIC,The Livestock for Health Study: A Field Trial on Livestock Interventions to Prevent Acute Malnutrition Among Women and Children in Pastoralist Communities in  Northern Kenya.,Thumbi,10.1177/03795721231195427,37850922,,2023,Food and nutrition bulletin,WJA4TPHN,8c9835ded63eea6198447ff233ea5a09,OK,downloaded,,,,testing,2026-08-06T22:20:30.011349+00:00
5SYFNTAR,FIC,Boring Task / FIC,Network characteristics of a referral system for patients with hypertension in Western Kenya: results from the Strengthening Referral Networks for Management of  Hypertension Across the Health System (STRENGTHS) study.,Thakkar,10.1186/s12913-022-07699-8,35255913,PMC8903732,2022,BMC health services research,74D8M2I9,ab4bb6f7ad0284115dccfed3f19b7c17,OK,downloaded,,,,testing,2026-08-06T22:20:30.479516+00:00
G8FV3B49,FIC,Boring Task / FIC,Menstrual product choice and uptake among young women in Zimbabwe: a pilot study.,Tembo,10.1186/s40814-020-00728-5,33292659,PMC7681965,2020,Pilot and feasibility studies,VSBGNZCW,a1d18a50f8c24d0e9a6cff2a4d045da7,OK,downloaded,,,,testing,2026-08-06T22:20:31.008973+00:00
UQK87UZH,FIC,Boring Task / FIC,A mobile health-facilitated behavioural intervention for community health workers improves exclusive breastfeeding and early infant HIV diagnosis in India: a  cluster randomized trial.,Suryavanshi,10.1002/jia2.25555,32618115,PMC7332965,2020,Journal of the International AIDS Society,VLUWWPCH,21104c42fefdaf76aaef4fc091e9df3b,OK,downloaded,,,,testing,2026-08-06T22:20:31.600914+00:00
DWAYIJCK,FIC,Boring Task / FIC,"Effects of lipid-based nutrient supplements and infant and young child feeding counseling with or without improved water, sanitation, and hygiene (WASH) on  anemia and micronutrient status: results from 2 cluster-randomized trials in  Kenya and Bangladesh.",Stewart,10.1093/ajcn/nqy239,30624600,PMC6358037,2019,The American journal of clinical nutrition,TPER8T6G,6afab27a072ab28750b1228f3827e9d8,OK,downloaded,,,,testing,2026-08-06T22:20:32.110370+00:00
G46396XM,FIC,Boring Task / FIC,"Improved adherence to test, treat, and track (T3) malaria strategy among Over-the-Counter Medicine Sellers (OTCMS) through interventions implemented in  selected rural communities of Fanteakwa North district, Ghana.",Soniran,10.1186/s12936-022-04338-9,36335323,PMC9636763,2022,Malaria journal,AD98MP4B,84d75aac00093ebf2bf8df57facd962a,OK,downloaded,,,,testing,2026-08-06T22:20:32.606580+00:00
5UCUYE7F,FIC,Boring Task / FIC,Cost-effectiveness of a lifestyle intervention in high-risk individuals for diabetes in a low- and middle-income setting: Trial-based analysis of the Kerala  Diabetes Prevention Program.,Sathish,10.1186/s12916-020-01704-9,32883279,PMC7472582,2020,BMC medicine,25IQAH7L,e468ef37d05c8ce4088b1e34436d871e,OK,downloaded,,,,testing,2026-08-06T22:20:33.163523+00:00
