paper_id,set,stage,removed_from,reason,evidence,decided_by,decided_at,source_record,title
S3NDM3VQ,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set E2MNEMB8, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Sustainability of Blood Pressure Reduction in Black Barbershops.
TWYU2VCY,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 9LTSBSEE, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Effect of Training Pediatric Clinicians in Human Papillomavirus Communication Strategies on Human Papillomavirus Vaccination Rates: A Cluster Randomized  Clinical Trial.
VXKNB5DX,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 5CPW9STM, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,"Successful Trial of Practice Facilitation for Plan, Do, Study, Act Quality Improvement."
HA58JB25,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set U9LEIXXF, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Clinical Effects of Balanced Crystalloids vs Saline in Adults With Diabetic Ketoacidosis: A Subgroup Analysis of Cluster Randomized Clinical Trials.
KHHFUXBI,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 8NX9CDB5, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,"The Head and Neck Survivorship Tool (HN-STAR) Trial (WF-1805CD): A protocol for a cluster-randomized, hybrid effectiveness-implementation, pragmatic trial to  improve the follow-up care of head and neck cancer survivors."
CSI9YBL2,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set LGEECHQM, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,A mHealth intervention to preserve and promote ideal cardiovascular health in college students: Design and protocol of a cluster randomized controlled trial.
H2EMVC97,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set GYRIVJLS, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Robotic versus Electromagnetic bronchoscopy for pulmonary LesIon AssessmeNT: the RELIANT pragmatic randomized trial.
88MUVGL7,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set Q2S96SJ9, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Strategies to improve the recruitment and retention of underserved children and families in clinical trials: A case example of a school-supervised asthma therapy  pilot.
M46JBV2K,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set BZHD4F63, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Health-related quality of life outcomes for the LEAP study-CALGB 70305 (Alliance): A lymphedema prevention intervention trial for newly diagnosed breast  cancer patients.
LWBEKQXY,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set PKIN6R35, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Association of Race and Ethnicity with Sedation Management in Pediatric Intensive Care.
IIM5LTHQ,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 2BDG7GVP, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,A Group Randomized Intervention Trial Increases Participation in the School Breakfast Program in 16 Rural High Schools in Minnesota.
3VCQS3N8,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set KCV63L9X, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Impact of Visit Volume on the Effectiveness of Electronic Tools to Improve Heart Failure Care.
5G5828ED,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set RHQWSFTR, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,An overview of optimal designs under a given budget in cluster randomized trials with a binary outcome.
Y729FR8I,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set EZW26HK2, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,A Multifaceted Implementation Strategy to Increase Out-of-Office Blood Pressure Monitoring: The EMBRACE Cluster Randomized Clinical Trial.
6W27JB54,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 6XFGQN39, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Enhanced care planning and clinical-community linkages versus usual care to address basic needs of patients with multiple chronic conditions: a  clinician-level randomized controlled trial.
Z3NEV3AG,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set VMHXT33Z, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Randomized evaluation of decision support interventions for atrial fibrillation: Rationale and design of the RED-AF study.
PALJMQS6,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set XA8RYYSR, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,A Cluster Randomized Controlled Trial of a Lay Health Worker Intervention to Increase Healthy Eating and Physical Activity Among Vietnamese Americans.
7CGAHFHD,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set S89CIJ46, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Effect of a Multicomponent Food Pantry Intervention in Client Subgroups.
UIDUTSZL,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set M8CXW6PU, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Clinical and economic effectiveness of a pharmacy and primary care collaborative transition of care program.
5M5EWTXL,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set MPJA6L2H, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Breakfast Is Brain Food? The Effect on Grade Point Average of a Rural Group Randomized Program to Promote School Breakfast.
7A7DGTFA,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 6XSR8DVR, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Prehospital low titer group O whole blood is feasible and safe: Results of a prospective randomized pilot trial.
9T7P8H5G,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set EAJAKXKC, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,The ecology of patient and caregiver participation in consultations involving advanced cancer.
96UKX43M,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set IDKFPWGH, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,A Cluster Randomized Trial of a Community-Based Intervention Among African-American Adults: Effects on Dietary and Physical Activity Outcomes.
E3IREKY2,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set JSRXWSXE, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Addressing cancer survivors' cardiovascular health using the automated heart health assessment (AH-HA) EHR tool: Initial protocol and modifications to address  COVID-19 challenges.
YUAM3VKF,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set UHEKLJLC, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,A Cluster-Randomized Evaluation of the SuperShelf Intervention in Choice-Based Food Pantries.
I7FXIK32,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set F9X8Z6SZ, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Increasing the adoption of evidence-based communication practices for HPV vaccination in primary care clinics: The HPV ECHO study protocol for a cluster  randomized controlled trial.
MNPPUABA,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set I7VKXNIC, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Sustainability of blood pressure reduction in black barbershops.
8G9N5B5B,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set SUANA8ET, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Moderators of the effectiveness of an intervention to increase colorectal cancer screening through mailed fecal immunochemical test kits: results from a pragmatic  randomized trial.
TZZP2GMX,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set X9X3VGJK, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,A cost-effectiveness analysis of a colorectal cancer screening program in safety net clinics.
Z7AH5NE4,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set KJQKEW8Y, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Effectiveness of a Mailed Colorectal Cancer Screening Outreach Program in Community Health Clinics: The STOP CRC Cluster Randomized Clinical Trial.
RVGHTCUQ,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set FDVX9XTR, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,System Level Informatics to Improve Triage Practices for Sickle Cell Disease Vaso-Occlusive Crisis: A Cluster Randomized Controlled Trial.
9FSNPZT8,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set NQ4Y7FIA, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Caring for the elderly at work and home: Can a randomized organizational intervention improve psychological health?
NQSS6ZME,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set W75ICDYI, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Association between advanced cancer patient-caregiver agreement regarding prognosis and hospice enrollment.
VQERMQTN,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set PDP273K4, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Behavioral economic implementation strategies to improve serious illness communication between clinicians and high-risk patients with cancer: protocol for  a cluster randomized pragmatic trial.
GE5YUEC5,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set C69UAKKB, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Using increased trust in medical researchers to increase minority recruitment: The RECRUIT cluster randomized clinical trial.
82SN3AXQ,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set YZ7GZ47B, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,"Effects of a Flexibility/Support Intervention on Work Performance: Evidence From the Work, Family, and Health Network."
6TH7JZG3,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set BLWKH6C8, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Rationale and protocol for a cluster randomized pragmatic clinical trial testing behavioral economic implementation strategies to improve tobacco treatment rates  for cancer patients who smoke.
4P75RKMV,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 4Q7JQUVU, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Effect on Patient Safety of a Resident Physician Schedule without 24-Hour Shifts.
V4D33GKD,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set HBD3Y6S2, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Assessment of Financial Toxicity Among Older Adults With Advanced Cancer.
CGFN57QZ,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 8RFFGGMQ, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,"Employee Cardiometabolic Risk Following a Cluster-Randomized Workplace Intervention From the Work, Family and Health Network, 2009-2013."
4XYV8HZY,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set PVP9PWD9, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Assessing the representativeness of cluster randomized trials: Evidence from two large pragmatic trials in United States nursing homes.
RPDUHJVP,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set Z6DJN9CQ, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Completion of Patient-Reported Outcome Questionnaires Among Older Adults with Advanced Cancer.
ZSVGVCQS,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set NCY67FZ9, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Changes in Moderate Intensity Physical Activity Are Associated With Better Cognition in the Multilevel Intervention for Physical Activity in Retirement  Communities (MIPARC) Study.
DZM6LTUC,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 7MXH2IXG, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,The shared uncertainty experience of older adults with advanced cancer and their caregivers.
TLXU4MVQ,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set R7T6WKEW, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,"Protocol paper: Multi-site, cluster-randomized clinical trial for optimizing functional outcomes of older cancer survivors after chemotherapy."
M3IMKTAR,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set ZFMGD92P, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,"A qualitative evaluation of a simplified cardiovascular management program in Tibet, China."
PX36RSR8,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set SJVU6KJ3, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,"Effects of an Oncology Nurse-Led, Primary Palliative Care Intervention (CONNECT) on Illness Expectations Among Patients With Advanced Cancer."
82VGQ9L3,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set G4WN7HVX, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Poor patient health is associated with higher caregiver burden for older adults with advanced cancer.
VMVQ2SRD,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 62TBCTHX, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Examining Caregiver Outcomes in the CONNECT Intervention for Patients With Advanced Cancer.
AD2GEB7Y,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set EEIQW8EX, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Effect of a Mammography Screening Decision Aid for Women 75 Years and Older: A Cluster Randomized Clinical Trial.
V4IJ9JW5,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set S7VJ7LXE, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Decreasing polypharmacy in older adults with cancer: A pilot cluster-randomized trial protocol.
VDTZHUI6,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set GVSXRYPK, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,"Geriatric assessment-driven polypharmacy discussions between oncologists, older patients, and their caregivers."
4SECYYI8,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set I6GH9T7T, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,A Geriatric Assessment Intervention to Reduce Treatment Toxicity Among Older Adults With Advanced Lung Cancer: A Subgroup Analysis From a Cluster Randomized  Controlled Trial.
45QRDBNZ,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set D7FNGV5H, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Communication With Older Patients With Cancer Using Geriatric Assessment: A Cluster-Randomized Clinical Trial From the National Cancer Institute Community  Oncology Research Program.
YVTFQYD2,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set GQ47R7MS, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Symptom Burden and Shared Care Planning in an Oncology Nurse-Led Primary Palliative Care Intervention (CONNECT) for Patients with Advanced Cancer.
JNM3WPH3,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set T3W2WZCX, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Social Mobile Approaches to Reducing Weight (SMART) 2.0: protocol of a randomized controlled trial among young adults in university settings.
N6Z88UT5,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set B6VJ22FA, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Hope and illness expectations: A cross-sectional study in patients with advanced cancer.
CLP2FY5Z,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set HA9IHJB6, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Associations of Caregiver-Oncologist Discordance in Prognostic Understanding With Caregiver-Reported Therapeutic Alliance and Anxiety.
33MGPB3E,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 7BJRB6LP, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,"Beliefs About Advanced Cancer Curability in Older Patients, Their Caregivers, and Oncologists."
UN3SHL78,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set ALFCPWRB, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,"Caregiver-Oncologist Prognostic Concordance, Caregiver Mastery, and Caregiver Psychological Health and Quality of Life."
DCJKXL89,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set HI3CPFP8, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Relationships of self-perceived age with geriatric assessment domains in older adults with cancer.
Z6QQIWFY,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 69KLSK53, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Communication About Fall Risk in Community Oncology Practice: The Role of Geriatric Assessment.
IG5YG7VB,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set FGGJHPQ8, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Effects of a Geriatric Assessment Intervention on Patient-Reported Symptomatic Toxicity in Older Adults With Advanced Cancer.
2EAWBLSK,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set Y65DB7TT, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Primary Palliative Care Improves Uptake of Advance Care Planning Among Patients With Advanced Cancers.
TSYDUWJK,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set NFIAY6NV, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Effects by educational attainment of a mammography screening patient decision aid for women aged 75 years and older.
7FSI3RN9,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set E5W8I8AR, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Can a private sector engagement intervention that prioritizes pro-poor strategies improve healthcare access and quality? A randomized field experiment in Kenya.
9RLPXJX2,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set MCKQDWYQ, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Racial Differences in Pain Management for Patients Receiving Hospice Care.
