task,split,paper_id,promptbook_version,judgment_index,pass_name,model_used,truth,decision,confidence,status,outcome,reasoning,promptbook_evidence,run_id,response_id,configuration_fingerprint,configuration_source,effort,route,transport
data_analysis,build,7M6ST2JQ,v1,2,primary,claude-sonnet-5,no,no,0.68,scored,true_negative,"Randomization was stratified by school and baseline medication use, but GEE model only adjusted for baseline SFD, poverty, and smoking—stratification variables never entered the analysis.",D10,run-data_analysis-r1-060a29aa3b615279e75d,response-f4fb167ab7e2d8c0f2f59e19fb834a0b3969f12f78b7e6e0042638ecb4eaf4e4,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,84YU8UCD,v1,2,primary,claude-sonnet-5,no,yes,0.72,scored,false_positive,"Primary outcomes analyzed via GEE (BP control) and mixed model with random effect (PAM-13), both clustering by practice; health system (randomization stratum) adjusted as covariate.","D5,D10",run-data_analysis-r1-060a29aa3b615279e75d,response-a0d257492fcefdfb4f3afe26f42e37ef60fbab1c8e6ce8929c2d0c6c0b8eec9e,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,9DKJKFAS,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,9LTSBSEE,v1,2,primary,claude-sonnet-5,no,no,0.72,scored,true_negative,"GEE clusters by practice, but constrained randomization balanced on 3 covariates (EHR source, baseline HPV rate, WCC visits) never entered the analysis model.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-5a26857b7f323e8b86f38f6b6a6cbea079cb0f82917b11eef53cb95504d1e2d4,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,9LX3EYI2,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,9PGIWTZJ,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,9THPD86J,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,9U8SD7BK,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,AQVRGUP7,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,ASUUZY3Z,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,AT7Y2KKR,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,B34VFBK3,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,B3KTU9TU,v1,2,primary,claude-sonnet-5,yes,no,0.68,scored,false_negative,"GEE clusters by CHW (D5) but CHWs were stratified by gender/urban-rural; analysis plan only checks effect modification, not stratum adjustment. Restriction ignored (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-ce3e8c49f793862804cc3ebb65047ffd2d798084b9ef02e089a525261dfd1ee1,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,BAABE7JM,v1,2,primary,claude-sonnet-5,no,no,0.6,scored,true_negative,"Site-level clustering handled via random intercept, but the block-randomized design (D9) is never accounted for in the mixed model—no block/stratum term mentioned (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-7161a91184433a179beab07c2538082b96eea7869d6198258eef7004207c1123,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,BBQSQ5GY,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,BLWKH6C8,v1,2,primary,claude-sonnet-5,yes,yes,0.62,scored,true_positive,"Planned GEE logistic model includes random effects for clinician cluster, the randomization unit; no stratified/matched restriction on cluster randomization is described.",D5,run-data_analysis-r1-060a29aa3b615279e75d,response-126041b2d6afb59a0e4318dfe5eb3771d3c2e6fed63fc9d6087d04e3b14ea2b2,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,BR4Y6FSS,v1,2,primary,claude-sonnet-5,no,no,0.95,scored,true_negative,Cluster RCT with only 4 clusters analyzed via chi-square on individual data; clustering completely ignored (D6).,D6,run-data_analysis-r1-060a29aa3b615279e75d,response-de67a142c9c6274b24836cb254b4e4301c2c0f7c8e1cb4474e23d672f0fbd16f,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,BW2B5H9P,v1,2,primary,claude-sonnet-5,no,no,0.62,scored,true_negative,"Primary SBP/DBP analysis described only as 'longitudinal models' with time, arm, interaction; no random effect for church cluster or other clustering method specified.",D4,run-data_analysis-r1-060a29aa3b615279e75d,response-7d9481348e097ff23f14304501199bd604305a4ba47dc012e1de2750e3d1bc01,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,BYZJM332,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,C69UAKKB,v1,2,primary,claude-sonnet-5,no,no,0.72,scored,true_negative,"Sites pair-matched on covariates within parent trial (D9), but GEE model only adjusts for parent trial, not the matched pairs/strata—restriction ignored despite clustering handled (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-38029a7c582c6e5a5819320d7a55bf34e9025d95ed182431d7a8d70777ac5ae7,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,C9P63S2B,v1,2,primary,claude-sonnet-5,no,no,0.72,scored,true_negative,"CACs pair-matched by team size before randomization, but analyses (mixed models, robust SEs) never adjust for pairing/matching factor.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-0d4ac2662f681f88946a83f9fccfa2b1539836b01156b46d250746877379fa19,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,CG56AVM4,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,CKEF67C5,v1,2,primary,claude-sonnet-5,no,no,0.55,scored,true_negative,"Randomization stratified by both site and clinical FTE, but model only includes site as fixed effect; FTE stratification never adjusted for, so restriction only partially handled.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-b24643689408447535601d19d9fa324479734807ac4ec4a37d68377d34dacdae,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,CMD8N46A,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,CR7JWN8H,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,D24FD6G2,v1,2,primary,claude-sonnet-5,no,yes,0.72,scored,false_positive,"GEE explicitly used to account for clustering of persons within physicians, with robust SEs; randomization was simple 1:1, no stratification/matching present (D9 n/a).",D5,run-data_analysis-r1-060a29aa3b615279e75d,response-07fe6ee51f1d7f1b9b8d6ee2610e7cde95128f78ea8454dd671b43e71ee39d01,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,DCYTWR4N,v1,2,primary,claude-sonnet-5,no,yes,0.75,scored,false_positive,"Primary outcome (antibiotic prescribing) analyzed via GEE with robust SEs clustering visits within practices, the randomization unit. Simple random allocation, no restriction to handle.",D5,run-data_analysis-r1-060a29aa3b615279e75d,response-00deaa511511061dffb714f2da8c5a372560618c41b7475005eae2d9d08fe321,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,DFJE8ALD,v1,2,primary,claude-sonnet-5,no,no,0.72,scored,true_negative,"Churches were stratified by size before randomization (D9), but the mixed models only adjust for age/marital/employment/education, not stratum—restriction ignored despite clustering handled (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-546a2a1c8927b213d8cf934e371b0e5f5c92788ff3bf9b51eef10cdaa6450d8e,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,DKMFB69S,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,E3JZCW7P,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,EBWFU9KS,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,EJY33FGY,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,EZW26HK2,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,FDVX9XTR,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,FEHWGZSQ,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,FHVQQIX3,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,FMXPAUEI,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,GMFGJ3S5,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,GX655FV4,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,GYRIVJLS,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,H7N83IW2,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,HPIL7WVW,v1,2,primary,claude-sonnet-5,no,no,0.72,scored,true_negative,"Randomization stratified by practice size (D9), but mixed model only adjusts for clinic random effect, baseline, age, cancer type—no stratification factor adjustment (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-8ffd98f87eed7dd93b5d2c5620929e4e4f559f661ae87bb65d67088679eb98fb,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,HRZIZRJP,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,I4N8RJX7,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,I6DQCI97,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,II5PE99X,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,IPR6QU8P,v1,2,primary,claude-sonnet-5,yes,no,0.6,scored,false_negative,"Individual randomization stratified by clinic site (D9) not entered in model; school randomization stratified into 5 groups also not adjusted, despite clustering being handled (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-14f56e63b0496a7bd81a10deac3ce1b058866e08a144562133e98093aef5658c,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,JCPBMIPX,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,KMKSIU5U,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,KMRQTRP3,v1,2,primary,claude-sonnet-5,no,no,0.75,scored,true_negative,"Constrained randomization on EHR vendor, baseline HPV rate, baseline visit volume (D9) but models only include arm, period, interaction—no adjustment for constraining covariates (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-20f2f12ec1e421c95134f5b4884fa8fdd63ebe16501efbfa4d538972bb011780,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,KSSYVX7X,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,L2VHUDMD,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,L8CPLJYW,v1,2,primary,claude-sonnet-5,no,no,0.72,scored,true_negative,"Communities stratified by population size (D9), but mixed model only includes community random effect + launch month; stratification variable not adjusted for (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-7844df76cf8b967deb13206d34c6cab8356f6504c213404500c4deef57070151,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,LGEECHQM,v1,2,primary,claude-sonnet-5,no,no,0.68,scored,true_negative,"Primary 3-level mixed model handles dorm-level clustering (subject, dorm) but pair-matching is only used in a separate secondary heterogeneity model, not the primary effect estimate.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-556802a0689a933caa386b68297b23559cec67b9ae2f79c446488572b5911a00,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,LIJH82T5,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,LNE655AM,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,LU33978L,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,MTLFVN94,v1,2,primary,claude-sonnet-5,no,no,0.62,scored,true_negative,"Randomization stratified by province (D9), but primary GEE analysis adjusts only for clustering, not stratification factor; subgroup-by-province is not adjustment. D11 applies.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-678779600870c4e872dd1a4014271989bf7c1d1454159ae9a4b9e720da5d6869,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,NMNK2UJG,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,NQ4Y7FIA,v1,2,primary,claude-sonnet-5,no,no,0.72,scored,true_negative,"Facility random effect handles clustering, but randomization used Frane's adaptive method balancing on retention, location, size (D9); analysis never adjusts for these strata (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-6d2408c98d4e3ca15d4d2b4b74bf1cc981a2e19887d6e633001fd05cfaa84d7e,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,NZYS3BX2,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,PDP273K4,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,QJRBBVLY,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,R2P2KPRE,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,R3FT4BF3,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,R7T6WKEW,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,SAT93UFL,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,SGCHKJTH,v1,2,primary,claude-sonnet-5,yes,no,0.75,scored,false_negative,"Sites were pair-matched before randomization, but the mixed model only included random effects for site and participant, no pair/matched-set term. D11.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-6077569e4369cabff4d7269782c801cfecdda1502a3f334ad74e24516b1c7384,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,SH5J2R2J,v1,2,primary,claude-sonnet-5,no,no,0.75,scored,true_negative,"Schools were pair-matched on SES/ethnicity/enrollment and stratified by site, but the mixed model only used student/school random effects—no pair or site term. Clustering handled, restriction ignored.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-331663173eaf404bea1617498a751e12ad91dff6749266890034ebcae42b4439,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,TBFRUAMD,v1,2,primary,claude-sonnet-5,no,no,0.75,scored,true_negative,"Randomization stratified by health system (D9), but analysis plan (clinic random effect only) never adjusts for stratum—clustering handled, restriction ignored (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-18f846c41aa17b055b96ae12c3a492858e1a503b6e3472fcabd3c67c4e1cfc82,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,TEXLFQSL,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,TGSIADX6,v1,2,primary,claude-sonnet-5,no,no,0.78,scored,true_negative,"GEE only accounts for clustering within providers, not at the practice (randomization) level; constrained randomization also not addressed in analysis.",D8,run-data_analysis-r1-060a29aa3b615279e75d,response-a60168a987d64cf69ac3d8373e83a63240d9d6443eafa3f6b72508d8717e7209,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,U7PLGE75,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,UHEKLJLC,v1,2,primary,claude-sonnet-5,no,no,0.72,scored,true_negative,"Pantries were matched into sets by RUCA, catchment area, interventionist before randomization, but mixed models don't include pair/set as blocking factor or adjust for matching vars.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-32d35d2b46b4530b498dbdc4cfb2a23e75495ce8fd5a398b978409a8c575d66b,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,UMV6NC2L,v1,2,primary,claude-sonnet-5,no,no,0.55,scored,true_negative,"GEE clusters correctly (D5) but primary aim1 model uses only group assignment; minimization factors (rural, size, minority) not built in, only conditionally adjusted if imbalanced.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-698b287e74c9e70ab1a0e3d463689e6f1c0833e89049021e512e91b1efe14c80,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,UPVYYFVQ,v1,2,primary,claude-sonnet-5,no,no,0.55,scored,true_negative,"Family-level cluster-summary handles clustering, but block-randomized allocation (D9) is never accounted for in the t-test/ANCOVA analyses (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-f851b67cf36b89193e5ffae80e4aeb6a88aad4ce4c4de82855c6a1b953da60da,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,VFJZH9TR,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,VMHXT33Z,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,W2VQEXEG,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,W95M9S6N,v1,,,,no,,,missing,missing,,,,,,,,,
